alert_type,source_ip_risk,user_risk_score,failed_login_count_24h,geo_impossible_travel,asset_criticality,historical_false_positive_rate,priority
other,0.0,0.0,0,0,low,0.6974,low
data_exfil,0.0709,0.0581,1,0,low,0.6152,low
malware,0.2962,0.1657,2,0,low,0.5683,low
other,0.4954,0.4909,1,0,low,0.6734,medium
other,0.3177,0.1666,3,0,low,0.6822,low
suspicious_login,0.3954,0.3482,5,0,medium,0.7779,medium
brute_force,0.4301,0.4847,2,0,low,0.6538,low
malware,0.2891,0.5168,3,0,low,0.7629,medium
brute_force,0.2379,0.3001,2,0,low,0.8104,low
data_exfil,0.2256,0.3474,6,0,medium,0.6492,medium
other,0.6078,0.6826,2,0,medium,0.6407,medium
brute_force,0.5656,0.4101,3,0,medium,0.7548,medium
suspicious_login,0.3107,0.4664,2,0,high,0.5578,high
brute_force,0.3565,0.1989,0,0,high,0.8181,medium
malware,0.0,0.2275,2,0,high,0.8097,medium
malware,0.3058,0.0,2,0,medium,0.2192,medium
suspicious_login,0.0,0.1055,3,0,low,0.2858,low
suspicious_login,0.4837,0.2845,2,0,medium,0.7477,medium
malware,0.3595,0.3995,4,0,low,0.6123,medium
other,0.2463,0.2126,1,1,low,0.1586,medium
malware,0.2441,0.1891,1,0,medium,0.7489,low
malware,0.2207,0.1358,1,0,low,0.3275,low
data_exfil,0.5329,0.582,3,0,low,0.4655,medium
suspicious_login,0.0451,0.4086,2,0,low,0.7127,low
other,0.4443,0.2552,6,1,low,0.4899,medium
other,0.1372,0.0317,5,0,low,0.6709,low
malware,0.2163,0.1455,6,0,low,0.8226,low
data_exfil,0.7234,0.5199,0,1,medium,0.1884,high
suspicious_login,0.1331,0.0506,1,1,medium,0.8473,medium
brute_force,0.3222,0.3749,2,0,low,0.7772,low
malware,0.2708,0.0783,1,0,medium,0.7439,low
data_exfil,0.2693,0.1182,2,0,high,0.5041,high
other,0.2229,0.1717,0,0,low,0.4571,low
brute_force,0.2749,0.9293,3,0,high,0.7739,high
suspicious_login,0.298,0.2654,3,0,low,0.6521,low
suspicious_login,0.339,0.3637,2,0,low,0.465,medium
other,0.4551,0.1678,2,0,high,0.8461,medium
data_exfil,0.3538,0.3164,7,0,medium,0.5037,high
other,0.0085,0.2791,4,0,medium,0.7227,medium
brute_force,0.1016,0.2909,5,1,low,0.4397,medium
other,0.0752,0.2075,2,0,high,0.8843,medium
other,0.3756,0.2499,11,0,low,0.6688,low
malware,0.4421,0.0848,0,0,medium,0.0619,medium
brute_force,0.3936,0.116,6,0,medium,0.6512,medium
other,0.4737,0.6156,14,0,medium,0.9012,high
data_exfil,0.0797,0.2056,1,0,low,0.5523,low
brute_force,0.2335,0.0678,5,0,medium,0.4562,medium
other,0.1881,0.5476,3,0,low,0.6762,medium
suspicious_login,0.1866,0.0,2,0,medium,0.6879,medium
brute_force,0.6319,0.6368,2,1,low,0.4945,medium
other,0.5028,0.4723,10,0,high,0.8751,high
other,0.0349,0.2168,4,0,low,0.7835,medium
brute_force,0.0725,0.2733,1,0,low,0.9143,low
malware,0.1633,0.266,2,0,low,0.4336,low
malware,0.2051,0.4434,1,0,low,0.2095,medium
brute_force,0.1813,0.0751,1,1,low,0.5607,low
suspicious_login,0.6263,0.3853,6,0,high,0.7217,high
data_exfil,0.4216,0.3696,0,0,low,0.688,low
other,0.4734,0.5731,11,0,low,0.3759,medium
suspicious_login,0.3933,0.5548,3,1,low,0.3835,medium
data_exfil,0.0,0.1506,0,0,high,0.4417,medium
data_exfil,0.3208,0.693,2,0,medium,0.2289,high
brute_force,0.4881,0.8556,1,0,high,0.6579,high
malware,0.3777,0.4782,4,0,low,0.2322,medium
brute_force,0.1314,0.1557,2,0,medium,0.7683,low
suspicious_login,0.3398,0.1595,2,0,low,0.4717,medium
malware,0.1459,0.5373,13,0,high,0.5542,medium
brute_force,0.5596,0.1263,7,0,low,0.478,low
brute_force,0.0,0.022,12,0,low,0.4949,low
other,0.1612,0.1743,5,0,low,0.9599,low
data_exfil,0.5006,0.3167,18,0,medium,0.6971,medium
brute_force,0.5591,0.1422,9,0,high,0.7295,high
malware,0.0159,0.2215,3,0,high,0.8752,high
malware,0.1683,0.0,10,0,medium,0.5686,medium
brute_force,0.2978,0.3001,4,1,low,0.4902,medium
data_exfil,0.197,0.502,3,0,medium,0.5375,medium
malware,0.1978,0.0294,4,0,medium,0.3483,medium
other,0.5129,0.0412,1,0,medium,0.8135,medium
other,0.0806,0.1448,0,0,medium,0.4106,low
other,0.0,0.0023,0,0,medium,0.6652,medium
data_exfil,0.4424,0.6471,12,0,low,0.6643,medium
other,0.0,0.3412,3,0,low,0.645,low
data_exfil,0.2768,0.4653,2,1,medium,0.7255,high
other,0.1977,0.2686,1,0,high,0.4863,high
suspicious_login,0.4257,0.6128,9,1,low,0.8672,medium
data_exfil,0.0,0.019,1,0,medium,0.8001,low
other,0.0605,0.226,10,0,medium,0.871,medium
suspicious_login,0.0847,0.341,1,0,medium,0.8884,medium
other,0.7448,0.4317,12,0,low,0.5239,medium
other,0.4365,0.3049,3,1,low,0.6601,medium
data_exfil,0.2906,0.3621,0,0,low,0.788,low
brute_force,0.2054,0.2531,3,0,medium,0.301,medium
suspicious_login,0.2182,0.0829,1,0,low,0.5168,low
other,0.4129,0.2012,3,0,low,0.2339,medium
brute_force,0.4292,0.7035,2,0,low,0.8321,low
data_exfil,0.5859,0.3292,7,1,low,0.8794,medium
other,0.2763,0.1345,9,0,low,0.7095,medium
data_exfil,0.3726,0.0,1,0,medium,0.3973,medium
other,0.1685,0.111,2,1,high,0.6848,medium
other,0.0629,0.0506,2,0,medium,0.1002,medium
malware,0.4781,0.1643,3,1,high,0.8234,high
other,0.6559,0.4709,14,1,medium,0.3148,high
data_exfil,0.4842,0.7271,0,1,low,0.74,low
data_exfil,0.1823,0.3275,4,0,medium,0.8255,medium
malware,0.4537,0.3051,6,0,high,0.5168,high
other,0.2793,0.4897,1,0,high,0.7127,medium
data_exfil,0.1109,0.297,1,0,medium,0.6697,low
