alert_type,src_asset_criticality,dst_asset_criticality,user_risk_score,event_count_24h,failed_login_ratio,geo_distance_km,rule_severity,rule_historical_fpr,detection_confidence,is_known_fp_source,hour_of_day,kill_chain_stage,priority,predicted_priority,prob_low,prob_medium,prob_high,explanation
policy_violation,3,2,11.222312747660128,0,0.0158755189100382,39.47905334666058,2,0.3107213788822778,0.8032855125400782,0,7,initial_access,1,Medium,0.041937526,0.95253086,0.0055315658,"Priority Medium because rule is historically precise, involves a highly critical asset, alert pattern 'policy_violation' signals elevated risk."
malware_detected,3,2,19.37779562416969,3,0.0008932387802066,91.51790004308168,3,0.2868752729979126,0.7966611212793888,0,9,exfiltration,2,High,2.5628726e-05,0.14976516,0.85020924,"Priority High because kill chain stage 'exfiltration' is critical, asset appears low criticality, alert pattern 'malware_detected' signals elevated risk."
suspicious_process,1,3,17.431268233363173,1,0.4769499738006755,384.0163874904391,3,0.0862119968332729,0.6352829252549544,1,9,execution,1,Medium,0.02547586,0.8154548,0.1590693,"Priority Medium because linked to a noisy rule, source is typically trustworthy, kill chain stage 'execution' lessens urgency."
data_exfil,3,4,17.4307908197657,6,0.0690061065638085,18.11310116800421,4,0.481559898935525,0.6758071841741351,1,8,recon,1,Medium,0.104551874,0.88777274,0.0076753716,"Priority Medium because rule is historically precise, event volume spike detected, involves a highly critical asset."
failed_login_burst,4,4,17.860838894757997,3,0.3116795843587413,1103.5137140070187,4,0.0111633215784355,0.3413308556760009,0,8,recon,2,High,0.00019538881,0.01194802,0.9878565,"Priority High because rule is historically precise, rule severity is high, involves a highly critical asset."
suspicious_process,4,4,21.741302085457587,3,0.0150138005147438,1587.5666541830126,4,0.0765070660512923,0.5030055519117774,0,15,recon,2,High,4.195962e-05,0.0062105046,0.9937476,
policy_violation,1,3,27.88190233289563,5,0.1279398034340414,66.83978380411743,2,0.0766528663432101,0.2283464385881593,0,0,recon,1,Medium,0.051113434,0.8198574,0.1290292,
policy_violation,2,1,10.431614469572349,1,0.0721331528428776,5.673582823833523,3,0.3494025219580661,0.2601739697047714,1,1,recon,0,Low,0.9728265,0.027160505,1.3030854e-05,
failed_login_burst,2,4,27.814520683655907,5,0.0953263355062589,11.706485464570978,3,0.2063654630752665,0.8077036673892098,1,14,recon,1,Medium,0.106855825,0.8877659,0.005378252,
malware_detected,4,5,0.6026782065429357,2,0.0056355904526185,1.4829170250963983,4,0.2832760246214855,0.3457660888714982,1,19,execution,2,High,1.2061315e-05,0.0145034725,0.9854844,
privilege_escalation,5,4,36.68199489576434,62,0.3411007274531649,82.60223336334755,4,0.311731455119525,0.1939625410447935,0,13,initial_access,2,High,9.7408265e-05,0.022639476,0.97726315,
suspicious_process,2,4,22.254952315507968,6,0.0127457717847885,1000.403911418604,3,0.3516746965343555,0.5464999978170947,0,11,recon,1,Medium,0.01528197,0.8379573,0.14676069,
data_exfil,4,4,7.361416688298829,6,0.1586061545538128,2804.551464550596,1,0.2433618242250107,0.8806609343092112,0,6,execution,2,High,1.11406e-05,0.007959798,0.99202913,
policy_violation,2,2,29.48327665631672,2,0.0332095966576616,46.02295254389864,3,0.018791523741471,0.7565475463666563,1,6,lateral_movement,1,Medium,0.072216555,0.92236763,0.005415818,
malware_detected,5,2,6.616484045959414,2,0.1351147468184793,1175.6525130422244,4,0.053946646139642,0.7317666214813372,0,0,initial_access,2,High,9.580704e-08,5.236265e-05,0.99994755,
failed_login_burst,2,3,38.59821449954285,39,0.8269807725502214,98.05790030530522,4,0.1131547175726386,0.9161959447203648,1,9,exfiltration,1,Medium,0.007058955,0.9258155,0.06712552,
malware_detected,2,1,4.9293221125796896,27,0.8939264503124449,4.854212906293457,2,0.4446549533319485,0.5586633667572191,1,22,initial_access,0,Low,0.9898088,0.010084385,0.000106800544,
failed_login_burst,5,4,8.683781925560021,0,0.3757556893897057,967.2244604626236,3,0.2490349852036026,0.5327525931930392,0,18,execution,2,High,2.1373331e-05,0.006159404,0.9938192,
policy_violation,5,2,7.836627974060292,6,0.0022164155260979,58.30205851348919,3,0.3851133419738919,0.4063330174837118,0,11,initial_access,1,Medium,0.003641829,0.8429163,0.15344185,
data_exfil,2,3,18.863199836822957,3,0.0205207328941688,51.26847432618135,3,0.1033052042708944,0.2852305664114734,0,8,initial_access,1,Medium,0.011445133,0.82635546,0.16219938,
policy_violation,3,1,18.60253704073686,6,0.0070218403942793,6.482772239011243,2,0.5972167545248153,0.5424362497233212,0,16,recon,0,Low,0.6903963,0.30954447,5.916546e-05,
privilege_escalation,4,5,25.313556222875743,6,0.0124915046366907,83.42368165760499,2,0.55127714477434,0.5038460110622148,0,4,initial_access,1,Medium,0.073598176,0.85711783,0.06928401,
