alert_type,src_asset_criticality,dst_asset_criticality,user_risk_score,event_count_24h,failed_login_ratio,geo_distance_km,rule_severity,rule_historical_fpr,detection_confidence,is_known_fp_source,hour_of_day,kill_chain_stage,priority
failed_login_burst,4,3,21.838571107368328,3,0.2897704731091965,2713.842271037072,3,0.1362726535948531,0.517177683799596,0,0,lateral_movement,2
malware_detected,4,1,7.80232027181783,28,0.7781685552346994,33.03160400334004,4,0.2332105883105407,0.7332262910876762,0,14,exfiltration,2
suspicious_process,5,4,10.668192505477126,32,0.7474822477637646,1509.1855957275975,2,0.2530913604208651,0.4452801453203322,1,4,initial_access,1
data_exfil,5,4,25.021347661549605,1,0.1693527820211263,0.4138925031624103,2,0.4172486528355325,0.8134432407975107,0,10,initial_access,1
failed_login_burst,4,2,23.382714207419763,3,0.189331466985938,1347.4549415006738,2,0.0627269533536259,0.4040479771610848,0,0,initial_access,2
failed_login_burst,2,5,14.65493062220127,2,0.0347899922300158,470.6893398972968,3,0.4955688566798011,0.7119714447174323,0,22,initial_access,1
policy_violation,3,4,28.050494918727363,1,0.0001375000935642,1792.497946199544,2,0.1316927736183996,0.1068525990397099,0,15,lateral_movement,1
privilege_escalation,4,3,18.4722195253089,3,0.0425720079918979,7.651400381916794,2,0.5723192795585517,0.0233622922080652,0,16,initial_access,1
data_exfil,2,2,15.8044366139917,2,0.1700999791603701,1083.5335765287975,3,0.0597367446722099,0.0827888656160209,0,9,exfiltration,2
suspicious_process,1,3,16.897578830205383,5,0.0906148442020335,7.580403486442432,3,0.593440656654332,0.4781037674453953,0,2,exfiltration,1
failed_login_burst,4,2,45.081571297540286,3,0.3306985293803191,37.4817709238069,2,0.5717511758592689,0.4329665350365911,0,13,execution,1
failed_login_burst,3,4,16.75829481021258,5,0.1390407686358587,666.3818136835828,3,0.0705618333801959,0.171271461578202,0,18,initial_access,2
privilege_escalation,5,2,1.1594065098840367,4,0.0048289355633385,836.7429087426848,4,0.4917922312707576,0.4445921701978779,0,6,exfiltration,2
failed_login_burst,1,4,36.206812581481365,6,0.1779320599478578,15.62778046475239,3,0.2400260488706526,0.6937869401159567,1,12,initial_access,1
suspicious_process,4,3,14.768339437617485,2,0.0873066000776273,143.5724636452426,2,0.4779145916081326,0.5579184628790549,1,17,execution,0
suspicious_process,2,1,3.3821011533688745,5,0.0909331797505028,17.404040622120874,1,0.1264726826528668,0.3873357995213045,0,15,lateral_movement,0
data_exfil,2,4,26.060411148266528,0,0.2762340045659576,44.35270384160855,2,0.2705539160326132,0.7690302338316198,0,12,exfiltration,2
failed_login_burst,5,3,20.003330211260035,3,0.2145178138938031,17.070617070732112,3,0.4268116933066574,0.7325841043078051,0,20,lateral_movement,1
privilege_escalation,3,4,20.11000637556313,1,0.039798720961811,84.67516300089883,4,0.3146494674325995,0.2050422015601447,1,21,initial_access,1
