alert_type,src_asset_criticality,dst_asset_criticality,user_risk_score,event_count_24h,failed_login_ratio,geo_distance_km,rule_severity,rule_historical_fpr,detection_confidence,is_known_fp_source,hour_of_day,kill_chain_stage,priority
policy_violation,3,2,11.222312747660128,0,0.01587551891003826,39.47905334666058,2,0.3107213788822778,0.8032855125400782,0,7,initial_access,1
malware_detected,3,2,19.37779562416969,3,0.0008932387802066424,91.51790004308168,3,0.28687527299791266,0.7966611212793888,0,9,exfiltration,2
suspicious_process,1,3,17.431268233363173,1,0.4769499738006755,384.01638749043906,3,0.08621199683327298,0.6352829252549544,1,9,execution,1
data_exfil,3,4,17.4307908197657,6,0.06900610656380857,18.11310116800421,4,0.48155989893552503,0.6758071841741351,1,8,recon,1
failed_login_burst,4,4,17.860838894757997,3,0.3116795843587413,1103.5137140070187,4,0.011163321578435503,0.34133085567600097,0,8,recon,2
suspicious_process,4,4,21.741302085457587,3,0.015013800514743832,1587.5666541830126,4,0.07650706605129237,0.5030055519117774,0,15,recon,2
policy_violation,1,3,27.88190233289563,5,0.12793980343404146,66.83978380411743,2,0.07665286634321011,0.2283464385881593,0,0,recon,1
policy_violation,2,1,10.431614469572349,1,0.07213315284287766,5.673582823833523,3,0.34940252195806615,0.26017396970477147,1,1,recon,0
failed_login_burst,2,4,27.814520683655907,5,0.0953263355062589,11.706485464570978,3,0.2063654630752665,0.8077036673892098,1,14,recon,1
malware_detected,4,5,0.6026782065429357,2,0.00563559045261854,1.4829170250963983,4,0.2832760246214855,0.34576608887149823,1,19,execution,2
privilege_escalation,5,4,36.68199489576434,62,0.3411007274531649,82.60223336334755,4,0.311731455119525,0.19396254104479355,0,13,initial_access,2
suspicious_process,2,4,22.254952315507968,6,0.012745771784788506,1000.4039114186041,3,0.35167469653435557,0.5464999978170947,0,11,recon,1
data_exfil,4,4,7.361416688298829,6,0.15860615455381288,2804.551464550596,1,0.24336182422501074,0.8806609343092112,0,6,execution,2
policy_violation,2,2,29.483276656316722,2,0.0332095966576616,46.02295254389864,3,0.018791523741471007,0.7565475463666563,1,6,lateral_movement,1
malware_detected,5,2,6.616484045959414,2,0.1351147468184793,1175.6525130422244,4,0.05394664613964208,0.7317666214813372,0,0,initial_access,2
failed_login_burst,2,3,38.59821449954285,39,0.8269807725502214,98.05790030530522,4,0.11315471757263867,0.9161959447203647,1,9,exfiltration,1
malware_detected,2,1,4.9293221125796896,27,0.8939264503124449,4.854212906293457,2,0.4446549533319485,0.5586633667572191,1,22,initial_access,0
failed_login_burst,5,4,8.683781925560021,0,0.37575568938970577,967.2244604626237,3,0.24903498520360265,0.5327525931930392,0,18,execution,2
policy_violation,5,2,7.836627974060292,6,0.0022164155260979254,58.302058513489186,3,0.3851133419738919,0.40633301748371187,0,11,initial_access,1
data_exfil,2,3,18.863199836822954,3,0.020520732894168833,51.26847432618135,3,0.10330520427089444,0.2852305664114734,0,8,initial_access,1
policy_violation,3,1,18.60253704073686,6,0.0070218403942793935,6.482772239011243,2,0.5972167545248153,0.5424362497233212,0,16,recon,0
privilege_escalation,4,5,25.313556222875743,6,0.012491504636690779,83.42368165760499,2,0.55127714477434,0.5038460110622148,0,4,initial_access,1
suspicious_process,3,2,6.173069443457995,4,0.002359629528896897,29.212335341190975,4,0.5847049647410107,0.6587315226777282,0,18,initial_access,1
suspicious_process,2,1,5.323318328361562,1,0.0009490871578025323,1388.456486068175,3,0.5185168517772166,0.6532438275872712,0,11,lateral_movement,0
policy_violation,2,3,25.125902470733507,3,0.05685024397036455,21.757373948323107,3,0.12953000004062,0.659617503646148,0,14,exfiltration,1
failed_login_burst,3,3,23.12539575526376,3,0.001435000535395503,946.8913985215231,4,0.043151243574988125,0.9153384603045762,0,21,recon,2
malware_detected,4,2,29.00232440410168,2,0.3221571549294259,1252.4852086921462,3,0.413471559658826,0.17762755256765025,0,1,recon,1
failed_login_burst,1,1,19.36882603298164,3,0.053936453513052214,108.72042767501411,3,0.44350954186648983,0.4203822612915718,0,1,exfiltration,0
failed_login_burst,2,3,17.0165888610343,3,1.3897160338755564e-05,98.31802538378709,4,0.07968979187488727,0.5701318275706388,0,22,execution,2
data_exfil,4,4,9.401241573178904,2,0.18880327276416878,11.498603597646863,4,0.32103789810270217,0.3586093360463618,1,20,initial_access,1
policy_violation,3,3,15.814388434496868,1,4.618392869431209e-06,60.03472417313054,5,0.08181121101247456,0.9217576345039242,0,10,recon,2
suspicious_process,2,3,34.393320676574554,4,0.014850736924383011,640.217615943551,3,0.529184221835985,0.5604716670281416,0,6,exfiltration,1
privilege_escalation,2,4,21.154316813562684,5,0.07161068460229034,41.433826948935604,3,0.5201039461496797,0.581102943405731,0,22,recon,1
privilege_escalation,3,2,31.32494724736755,60,0.9563569241872532,39.29676286737824,4,0.24759278081080752,0.9235039029608696,1,21,execution,2
malware_detected,2,2,15.619710855299498,3,0.008502712282526175,221.5863800481813,2,0.5038581205391581,0.8285112137141588,0,22,recon,1
failed_login_burst,5,1,13.919910987405487,6,0.18560567902124037,2004.8496340159966,2,0.07039358346364583,0.6748392931634771,0,0,exfiltration,2
failed_login_burst,1,2,67.85613035128138,1,0.0008277197638659366,9.6782031441885,2,0.5928164653384784,0.564524995886662,0,3,initial_access,0
malware_detected,4,3,12.403310716770774,3,0.17175072630753277,723.937339961639,3,0.3071255912369679,0.47775777887318616,1,7,execution,1
failed_login_burst,3,2,8.454192807406619,1,0.04948518648757085,613.3317577823054,2,0.020857743531994516,0.8796469829988582,0,11,initial_access,2
data_exfil,1,4,8.789477278025107,3,0.28662422897247347,112.32476182142133,3,0.26044897016907786,0.5654769079756142,0,22,recon,2
malware_detected,2,1,6.516688492367882,3,0.10271692934758425,69.66651287203561,2,0.30867268664982317,0.12071017489263534,0,8,execution,1
policy_violation,3,1,11.504713813384287,3,0.053625253481877175,2037.6677337464876,3,0.5198034026257078,0.35089242143820054,0,4,initial_access,1
policy_violation,1,4,34.59493360683933,4,0.16715245155601557,589.786263442843,3,0.47414219936091045,0.28816172643645316,0,11,initial_access,1
privilege_escalation,3,2,21.131286370092948,1,0.4621235324033086,21.259055038848384,4,0.2573216698131821,0.5806969432703847,0,7,execution,2
policy_violation,2,4,14.27353560597007,2,0.022611625199905498,1757.3123296792176,2,0.14830817910195018,0.6073069769169742,0,18,execution,1
policy_violation,1,2,13.088461210453403,2,0.00014195134384819896,58.904719452285235,4,0.10665917372841303,0.9000863889531188,0,7,initial_access,1
privilege_escalation,3,3,31.57886814662479,2,0.010595624652405272,26.35312045689304,4,0.4317029064062656,0.35020269143035443,1,11,initial_access,0
privilege_escalation,5,2,7.744824669801252,5,0.012662894983351708,10.982644319091483,3,0.27192026521516577,0.5372410287725294,0,4,recon,2
data_exfil,1,3,8.750385635421651,22,0.729649231510037,101.25803077850983,3,0.28474773582098767,0.7984921344090056,0,17,initial_access,1
failed_login_burst,3,2,39.906937805026736,3,0.49992573865437717,127.29378980208604,2,0.03124336271889356,0.864786896930265,0,5,execution,2
failed_login_burst,3,2,27.220481326330642,1,2.4869686282097264e-05,961.1818178074085,4,0.45419546624385104,0.2701490531365266,1,0,initial_access,0
failed_login_burst,4,4,33.47184328774684,1,0.03877990324938836,124.44130094503485,3,0.5899851984639757,0.5509694168303155,0,15,exfiltration,1
policy_violation,3,5,15.031181768841511,2,0.18717355851261988,141.4591122110021,3,0.12708851470455057,0.22757833979585287,0,10,exfiltration,2
data_exfil,5,2,33.84803075916334,4,0.24229091060025404,263.6297743847843,3,0.3821907791458405,0.468744325619003,1,5,execution,2
policy_violation,2,3,7.172415623099919,2,0.0012021766034323003,75.5640693788811,2,0.25016769720686577,0.22244386217441753,0,23,recon,1
policy_violation,1,2,1.551935037164112,4,0.11723076295128834,0.212457994732797,3,0.23027851163433982,0.4173137815145407,0,11,exfiltration,1
malware_detected,2,5,21.775600611633475,7,0.08501827688321882,77.69337562590277,3,0.33524113334373046,0.309899183010989,1,2,exfiltration,2
malware_detected,3,4,24.158129896648184,2,0.14933099436516614,903.4470737655685,3,0.21110016469863913,0.303044707079335,1,7,lateral_movement,1
failed_login_burst,2,2,36.02445923484691,3,0.013228138298562177,91.92293363441802,2,0.22552565300277957,0.36402190628696224,0,15,exfiltration,1
failed_login_burst,4,1,55.27816325942045,16,0.7379094471658483,22.88370829554209,3,0.019491772916259857,0.8284041124463116,0,1,execution,2
data_exfil,1,2,13.856442558227847,1,0.26592436798567404,166.44034228571053,4,0.26875053620293243,0.3434340317262999,0,1,recon,1
malware_detected,3,2,27.035309373784997,0,0.011620131263095392,34.34250116500683,2,0.499940788980059,0.6668477437370253,0,9,initial_access,1
malware_detected,1,2,14.025502560526615,1,0.017222473120076662,49.83704083406183,3,0.04418283992939411,0.7371625964632366,0,5,initial_access,2
policy_violation,2,1,0.7644745983341719,4,0.0044287245460665975,872.2733067308324,3,0.26248729697779294,0.2866359895661619,0,21,recon,0
data_exfil,3,2,17.639136209201006,4,0.0017021434819246928,109.7483371139285,3,0.5485860158856173,0.3881620633848486,1,16,execution,1
malware_detected,2,3,7.875006445235419,3,0.09338673342085788,19.98376832051267,4,0.38488733333386577,0.4185715299444056,0,17,initial_access,1
malware_detected,4,2,37.77050369798817,2,0.22430396909732514,81.09412193121376,2,0.37423668286858736,0.5248443654396415,0,19,exfiltration,2
privilege_escalation,2,2,15.01613450625472,4,0.06444405364588576,119.15256082013957,3,0.24428273011022428,0.5719556875153897,0,23,execution,1
failed_login_burst,5,2,10.814956144816813,4,0.07735779940972975,47.92255844465603,2,0.3283197786572893,0.39011926695891913,0,19,initial_access,1
malware_detected,2,3,5.595730044904848,4,0.0951749066202006,1042.8882893097964,4,0.06824539509945238,0.2674008021856015,1,8,execution,2
failed_login_burst,2,2,25.633316313504988,3,4.527826487938994e-07,45.381700671709886,2,0.5524371727278743,0.14340464689577256,1,15,execution,0
malware_detected,1,3,58.917225681512356,3,0.08657605133066074,22.6586639626852,1,0.36390479645833634,0.3876078737922852,0,11,initial_access,1
suspicious_process,3,3,8.258254515822253,2,0.2954572755375168,1225.6832077941538,2,0.5383328671525991,0.2605965874713654,0,4,recon,0
failed_login_burst,4,2,13.844542725608505,5,0.024266342563854952,81.62103188840364,4,0.022503010513925198,0.2985097131911331,0,4,initial_access,2
failed_login_burst,5,4,50.30363377817984,4,0.09338710825274198,1692.6004722898742,4,0.2671594815252191,0.614289076369478,1,16,initial_access,1
privilege_escalation,4,4,66.02971304300523,2,0.052811197780064996,220.10553058480465,2,0.29235789450992244,0.5638108836920679,0,13,execution,2
privilege_escalation,2,2,14.654488418280142,4,0.29890007513961087,52.630700123926786,4,0.4954613126125343,0.6123930480893818,0,15,lateral_movement,1
data_exfil,3,1,41.4374953071888,2,0.15242695588616376,389.32479149887354,2,0.07934133768731347,0.5151150504213478,1,23,initial_access,1
malware_detected,3,1,40.09345906398586,3,0.0021377374300942213,54.538835504358154,4,0.4175925154171817,0.7637744955960983,0,21,recon,1
policy_violation,1,5,13.597030343553737,3,0.0407231418001724,152.06252546603798,2,0.32058141100105153,0.09077843057955737,0,13,recon,1
data_exfil,3,3,1.4274199533623761,1,0.035162017593575616,83.38875628340874,2,0.28924121983268014,0.6215124731970539,0,7,execution,2
malware_detected,2,3,37.1562550860809,1,0.16306032068120077,891.9661598343542,4,0.10963306756185695,0.6531286977897243,0,20,recon,2
policy_violation,4,3,12.438603998012177,0,0.012991982274494123,2011.684068773225,3,0.5406357026169085,0.738719331033803,1,20,initial_access,0
failed_login_burst,3,3,19.985954253318347,2,0.012490978437377247,42.76927917967702,4,0.40548430690725124,0.5819446521786581,1,10,execution,1
failed_login_burst,2,3,7.942122198768578,1,0.1303598099555935,109.27986220522163,2,0.011935923781127929,0.43152765769402424,0,22,execution,2
failed_login_burst,5,3,23.037497562863667,2,0.05925284553449065,38.560002907554995,4,0.5702925394833658,0.6400834529872035,1,10,initial_access,1
policy_violation,2,3,22.91799131528495,4,0.2051952451616221,183.05420677290178,3,0.28305819483084277,0.44647741149877995,0,16,execution,1
malware_detected,3,5,56.051417242602305,2,0.1715161523824975,27.34043384211486,1,0.3802283006687236,0.9277911564953275,0,13,exfiltration,2
failed_login_burst,4,2,39.782359180234636,4,0.3340154502095594,19.767305205055383,4,0.36395331225516936,0.5395928600411827,0,22,recon,1
malware_detected,2,3,9.151002294153086,3,0.23857179271454393,15.44490831493534,1,0.24226409105049093,0.6972302742240203,0,20,recon,1
failed_login_burst,1,3,32.278087625047455,2,0.086127510711175,92.7918552179215,4,0.2745801338771367,0.9001512862192733,0,0,initial_access,1
data_exfil,4,3,35.952487778799416,1,0.03599228847791559,621.9175315341678,4,0.03711898159160566,0.6780661953774341,0,11,recon,2
malware_detected,2,4,13.397089741905951,4,0.07437627717012095,41.917406658818386,3,0.46957188498351715,0.24506383018674163,1,8,recon,0
privilege_escalation,4,2,13.904330196830816,3,9.187859302686126e-05,26.238329234182174,2,0.07424374823959067,0.30523568160726167,0,7,initial_access,2
privilege_escalation,3,3,9.674164795411244,3,0.007583451424454872,43.37909150977272,3,0.3670304223895932,0.36411551977360096,0,6,exfiltration,2
data_exfil,4,2,28.11643706694678,5,0.0006435413351624658,105.32371250350312,2,0.5248683584251075,0.1260016258205044,1,11,recon,0
privilege_escalation,2,3,23.56654402504091,9,0.10720819211708914,16.710971382982457,3,0.5387242861732567,0.5381067832752818,1,22,execution,1
failed_login_burst,1,3,48.22507399765292,4,0.050252208180022996,92.18289670699707,2,0.46922365739119776,0.4026595226641409,0,13,execution,1
failed_login_burst,4,2,1.2479322893784044,1,0.302670557320624,3.523469732101323,2,0.029079278452749005,0.24210188519096543,0,13,initial_access,1
suspicious_process,3,5,25.098344342957628,3,0.08381146170825952,87.04311207408045,4,0.33686426112979095,0.18879355310640628,1,11,lateral_movement,1
suspicious_process,3,3,53.74954579519683,4,0.15868626420633034,33.14840887860547,3,0.4834190844759886,0.6270226737925371,0,23,exfiltration,1
data_exfil,3,2,15.243074644916229,4,0.03343661143246424,863.1365099496851,4,0.11380723241491429,0.6912696877652147,0,17,execution,2
privilege_escalation,2,3,6.250150041121098,2,0.28580922816483273,61.66391352916034,4,0.2126169906924482,0.796599903015481,0,3,exfiltration,2
suspicious_process,2,2,11.964905576435001,3,0.033202868960572535,1246.432825253096,2,0.4829223840124429,0.39294827341191346,0,22,execution,0
policy_violation,1,4,39.490956250470944,0,0.00044137560394429777,26.99740254441842,2,0.5608491326657399,0.6165538752958082,1,9,recon,0
policy_violation,1,4,3.622176853724572,1,0.28146005812098024,1059.9572538552784,2,0.037900126970114495,0.6696320120004572,1,12,initial_access,1
malware_detected,2,3,6.025095662633557,4,0.009949433914178366,34.61833547885776,2,0.2314897657536999,0.3229239481730779,0,8,execution,1
privilege_escalation,2,2,39.48838569524214,5,0.03912987362510988,665.0040187187618,4,0.10765496635135598,0.09764073582801165,0,4,recon,1
failed_login_burst,3,3,6.827783408356744,2,0.24025686748200317,1.2367207821654047,2,0.5737282899016662,0.7232248067788829,0,2,lateral_movement,0
suspicious_process,2,3,46.094430222380474,4,0.1421286151549283,37.37263795346825,4,0.5414103204561819,0.8198311211066193,0,8,exfiltration,1
malware_detected,3,2,45.83637532197975,2,0.004372462118223652,55.50028824337072,2,0.21654191110857976,0.41078687425979327,0,22,recon,2
failed_login_burst,3,2,37.24552060940891,3,0.04639065812058062,30.32817389722461,2,0.24042665147499168,0.45958817779466116,1,20,initial_access,0
privilege_escalation,3,2,16.37264507421517,4,0.00010094143748059196,1325.2805363473922,2,0.4431014823046514,0.16509896981370206,0,3,execution,1
malware_detected,3,2,9.103732317829307,1,0.14508047704588267,134.3391264899954,2,0.03376358247690242,0.8364764885683836,0,16,initial_access,2
failed_login_burst,3,3,50.40165261681805,3,0.08447345340767787,1046.3612121431222,4,0.0916121878494936,0.5435222399805654,0,13,recon,2
suspicious_process,5,3,20.992941145636305,3,0.03435829178161496,2195.525250691099,2,0.3530523758288734,0.8962345037776229,0,1,lateral_movement,2
policy_violation,4,2,32.89654049476206,1,0.0016439305342728571,50.86198544427341,4,0.06520467883857425,0.29777463044264185,1,10,execution,2
policy_violation,2,1,3.8610092436300225,1,0.023702917566909357,6.7482411028724085,2,0.24360283503502034,0.3428965179331223,0,22,recon,0
malware_detected,3,3,63.2420178878632,3,0.10596316973752502,549.7246059128476,2,0.5156766839276653,0.309866399305259,0,4,execution,1
data_exfil,4,3,15.871541722290578,1,0.022676466325338127,184.94550927098078,3,0.3347977583965445,0.3911031566456551,0,14,execution,2
malware_detected,3,2,12.289496830568735,2,0.07875105940606988,2.6416912649410906,2,0.24970323655039467,0.7618348667552067,0,20,exfiltration,2
data_exfil,1,4,20.95334195224562,6,0.005717411717818352,5.886978886369042,3,0.026680567792081257,0.5472782362132439,0,8,recon,2
failed_login_burst,2,1,56.522327336798874,2,0.009255514177341035,115.08472397359559,3,0.49621129525415864,0.700885627156801,0,11,initial_access,1
malware_detected,5,5,19.627307274204302,3,0.0014951124714797862,90.93122862993934,2,0.29429575066602454,0.7870072288390443,0,9,initial_access,2
failed_login_burst,3,2,41.426983083641375,1,1.0485378474369502e-05,17.344274809299186,4,0.04927814050499166,0.5480426951004118,0,13,recon,2
malware_detected,4,2,2.7056891785293344,3,0.022917992089038046,50.10089377587372,4,0.2002824002094848,0.33826542146951505,0,23,recon,2
privilege_escalation,3,2,2.131398499821593,1,0.0034755506716817393,27.934243199503516,1,0.35637444226220405,0.47578296951336363,0,21,recon,1
failed_login_burst,5,5,39.59832059099192,3,0.004847354927889992,757.9246075521082,3,0.5441449225399495,0.9002839792866656,1,7,recon,1
failed_login_burst,3,2,12.721440723886063,1,0.13823984858926636,21.156505804861766,4,0.5299995411377614,0.6881795531184893,0,2,initial_access,1
malware_detected,3,2,20.078892698670625,4,0.05927640506109121,2319.060095781098,3,0.45805002699712283,0.3810976018287303,1,17,recon,0
failed_login_burst,4,2,61.29451982591911,0,0.20374238136166248,1169.053778950999,3,0.5777731226562601,0.24395388085902542,0,19,lateral_movement,1
suspicious_process,1,4,16.747447605725093,3,0.0011665487447191241,735.7762847175599,3,0.08853993687905166,0.7860076341097304,0,7,recon,2
malware_detected,3,4,38.0284876583339,2,0.021931971082443293,27.415065710824443,2,0.35262753569260397,0.157810795126859,0,23,lateral_movement,1
privilege_escalation,1,4,12.723366086158935,4,0.004897961647597904,1839.0191155107009,3,0.06543989374430476,0.45245500040523523,0,0,execution,2
malware_detected,1,1,23.626440285286968,5,0.11287408056763197,25.947281677577934,2,0.43309858304889826,0.2984860368613158,0,1,recon,0
failed_login_burst,3,2,3.6170873675484723,5,0.12562133653993832,27.47044433399149,5,0.14588905472416766,0.8777768801870214,0,23,recon,2
suspicious_process,3,1,44.23743374306712,2,0.0018256241266615674,29.437595393399622,2,0.4029457368533672,0.48626250903581725,0,0,initial_access,0
malware_detected,1,4,43.13943731397954,4,0.009128525274554645,92.73684996177856,2,0.10309415371189078,0.4748675022753094,0,17,recon,1
policy_violation,2,3,44.75341630686744,3,0.13375030638579216,14.790480731467012,3,0.3044317066118991,0.6972676732776406,1,5,execution,0
failed_login_burst,4,1,4.122386999341634,3,0.002908761052303213,138.2772080152886,3,0.13916052798941742,0.49064580461816276,1,23,execution,1
malware_detected,4,2,35.25469292740199,3,0.0025595381749124466,12.160151243985135,4,0.08199743272497528,0.4664515897187092,0,1,initial_access,2
malware_detected,2,1,40.10589513189349,23,0.5616101669293133,210.295444749974,3,0.34395556186072557,0.48207634498437124,0,23,initial_access,1
suspicious_process,4,3,8.387929995896064,27,0.6246699185562545,111.11006340167722,2,0.12757575726739556,0.48300172210818065,0,10,initial_access,1
malware_detected,3,5,30.357962102409548,3,0.007540098112534216,29.702560951066342,2,0.4697976371451893,0.6260490702711698,0,12,lateral_movement,1
malware_detected,2,4,29.084081115305477,37,0.6670404048367397,55.04870083964176,2,0.3366506452390444,0.5320672819596711,0,23,recon,1
