ts,symbol,weight
2023-01-02,SPY,0.0
2023-01-03,SPY,0.0
2023-01-04,SPY,0.0
2023-01-05,SPY,0.0
2023-01-06,SPY,0.0
2023-01-09,SPY,0.0
2023-01-10,SPY,0.0
2023-01-11,SPY,0.0
2023-01-12,SPY,0.0
2023-01-13,SPY,0.0
2023-01-16,SPY,0.0
2023-01-17,SPY,0.0
2023-01-18,SPY,0.0
2023-01-19,SPY,0.0
2023-01-20,SPY,0.0
2023-01-23,SPY,0.0
2023-01-24,SPY,0.0
2023-01-25,SPY,0.0
2023-01-26,SPY,0.0
2023-01-27,SPY,0.0
2023-01-30,SPY,0.0
2023-01-31,SPY,0.0
2023-02-01,SPY,0.0
2023-02-02,SPY,0.0
2023-02-03,SPY,0.0
2023-02-06,SPY,0.0
2023-02-07,SPY,0.0
2023-02-08,SPY,0.0
2023-02-09,SPY,0.0
2023-02-10,SPY,0.0
2023-02-13,SPY,0.0
2023-02-14,SPY,0.0
2023-02-15,SPY,0.0
2023-02-16,SPY,0.0
2023-02-17,SPY,0.0
2023-02-20,SPY,0.0
2023-02-21,SPY,0.0
2023-02-22,SPY,0.0
2023-02-23,SPY,0.0
2023-02-24,SPY,0.0
2023-02-27,SPY,0.0
2023-02-28,SPY,0.0
2023-03-01,SPY,0.0
2023-03-02,SPY,0.0
2023-03-03,SPY,0.0
2023-03-06,SPY,0.0
2023-03-07,SPY,0.0
2023-03-08,SPY,0.0
2023-03-09,SPY,0.0
2023-03-10,SPY,0.0
2023-03-13,SPY,0.0
2023-03-14,SPY,0.0
2023-03-15,SPY,0.0
2023-03-16,SPY,0.0
2023-03-17,SPY,0.0
2023-03-20,SPY,0.0
2023-03-21,SPY,0.0
2023-03-22,SPY,0.0
2023-03-23,SPY,0.0
2023-03-24,SPY,0.0
2023-03-27,SPY,0.0
2023-03-28,SPY,0.0
2023-03-29,SPY,0.0
2023-03-30,SPY,0.0
2023-03-31,SPY,0.0
2023-04-03,SPY,0.0
2023-04-04,SPY,0.0
2023-04-05,SPY,0.0
2023-04-06,SPY,0.0
2023-04-07,SPY,0.0
2023-04-10,SPY,0.0
2023-04-11,SPY,0.0
2023-04-12,SPY,0.0
2023-04-13,SPY,0.0
2023-04-14,SPY,0.0
2023-04-17,SPY,0.0
2023-04-18,SPY,0.0
2023-04-19,SPY,0.0
2023-04-20,SPY,0.0
2023-04-21,SPY,0.0
2023-04-24,SPY,0.0
2023-04-25,SPY,0.0
2023-04-26,SPY,1.0
2023-04-27,SPY,1.0
2023-04-28,SPY,1.0
2023-05-01,SPY,1.0
2023-05-02,SPY,1.0
2023-05-03,SPY,1.0
2023-05-04,SPY,1.0
2023-05-05,SPY,1.0
2023-05-08,SPY,1.0
2023-05-09,SPY,1.0
2023-05-10,SPY,1.0
2023-05-11,SPY,1.0
2023-05-12,SPY,1.0
2023-05-15,SPY,1.0
2023-05-16,SPY,1.0
2023-05-17,SPY,1.0
2023-05-18,SPY,1.0
2023-05-19,SPY,1.0
2023-05-22,SPY,1.0
2023-05-23,SPY,1.0
2023-05-24,SPY,1.0
2023-05-25,SPY,1.0
2023-05-26,SPY,1.0
2023-05-29,SPY,1.0
2023-05-30,SPY,1.0
2023-05-31,SPY,1.0
2023-06-01,SPY,1.0
2023-06-02,SPY,1.0
2023-06-05,SPY,1.0
2023-06-06,SPY,1.0
2023-06-07,SPY,1.0
2023-06-08,SPY,1.0
2023-06-09,SPY,1.0
2023-06-12,SPY,1.0
2023-06-13,SPY,1.0
2023-06-14,SPY,1.0
2023-06-15,SPY,1.0
2023-06-16,SPY,1.0
