ts,decision_ts,gross,net,exposure,turnover,txn_cost,slippage_cost,costs
2016-01-04,2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,2016-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,2016-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,2016-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,2016-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,2016-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-13,2016-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-14,2016-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,2016-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-18,2016-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,2016-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,2016-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,2016-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,2016-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,2016-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,2016-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,2016-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,2016-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,2016-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,2016-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,2016-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,2016-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,2016-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,2016-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,2016-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,2016-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,2016-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-15,2016-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,2016-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,2016-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,2016-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,2016-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,2016-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,2016-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,2016-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,2016-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,2016-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,2016-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-02,2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-03,2016-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-04,2016-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-07,2016-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-08,2016-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-09,2016-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-10,2016-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-11,2016-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-14,2016-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-15,2016-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-16,2016-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-17,2016-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-18,2016-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-21,2016-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-22,2016-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-23,2016-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-24,2016-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-25,2016-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-28,2016-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-29,2016-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-30,2016-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,2016-03-30,-0.01263132479829887,-0.012831324798298871,1.0,1.0,0.0002,0.0,0.0002
2016-04-01,2016-03-31,-0.00999935653466788,-0.00999935653466788,1.0,0.0,0.0,0.0,0.0
2016-04-04,2016-04-01,0.005038968143330047,0.005038968143330047,1.0,0.0,0.0,0.0,0.0
2016-04-05,2016-04-04,-0.002673934796955657,-0.002673934796955657,1.0,0.0,0.0,0.0,0.0
2016-04-06,2016-04-05,-0.017092284494708787,-0.017092284494708787,1.0,0.0,0.0,0.0,0.0
2016-04-07,2016-04-06,-0.003705230116974989,-0.003705230116974989,1.0,0.0,0.0,0.0,0.0
2016-04-08,2016-04-07,0.01145357848867623,0.01145357848867623,1.0,0.0,0.0,0.0,0.0
2016-04-11,2016-04-08,-0.01245175846263713,-0.01245175846263713,1.0,0.0,0.0,0.0,0.0
2016-04-12,2016-04-11,0.0004111392957082405,0.0004111392957082405,1.0,0.0,0.0,0.0,0.0
2016-04-13,2016-04-12,0.01614267485104759,0.01614267485104759,1.0,0.0,0.0,0.0,0.0
2016-04-14,2016-04-13,-0.0007415447679024467,-0.0007415447679024467,1.0,0.0,0.0,0.0,0.0
2016-04-15,2016-04-14,-0.014953551807383003,-0.014953551807383003,1.0,0.0,0.0,0.0,0.0
2016-04-18,2016-04-15,-0.027439138658316153,-0.027439138658316153,1.0,0.0,0.0,0.0,0.0
2016-04-19,2016-04-18,0.005797580441186945,0.005797580441186945,1.0,0.0,0.0,0.0,0.0
2016-04-20,2016-04-19,-0.028960825603343676,-0.028960825603343676,1.0,0.0,0.0,0.0,0.0
2016-04-21,2016-04-20,0.002811782968023202,0.002811782968023202,1.0,0.0,0.0,0.0,0.0
2016-04-22,2016-04-21,0.02525944549675363,0.02525944549675363,1.0,0.0,0.0,0.0,0.0
2016-04-25,2016-04-22,-0.03695565238965315,-0.03695565238965315,1.0,0.0,0.0,0.0,0.0
2016-04-26,2016-04-25,0.0060194441415730715,0.0060194441415730715,1.0,0.0,0.0,0.0,0.0
2016-04-27,2016-04-26,0.0,-0.0002,0.0,1.0,0.0002,0.0,0.0002
2016-04-28,2016-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-29,2016-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-02,2016-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-03,2016-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-04,2016-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-05,2016-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-06,2016-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-09,2016-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-10,2016-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-11,2016-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
