ts,decision_ts,gross,net,exposure,turnover,txn_cost,slippage_cost,costs
2016-01-05,2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,2016-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,2016-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,2016-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,2016-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,2016-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-13,2016-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-14,2016-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,2016-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,2016-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,2016-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,2016-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,2016-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,2016-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,2016-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,2016-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,2016-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,2016-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,2016-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,2016-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,2016-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,2016-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,2016-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,2016-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,2016-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,2016-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,2016-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,2016-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,2016-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,2016-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,2016-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,2016-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,2016-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,2016-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,2016-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,2016-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-02,2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-03,2016-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-04,2016-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-07,2016-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-08,2016-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-09,2016-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-10,2016-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-11,2016-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-14,2016-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-15,2016-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-16,2016-03-15,0.008550659948410365,0.0064962082661482335,0.8231465860799754,0.8231465860799753,0.00016462931721599507,0.001889822365046136,0.002054451682262131
2016-03-17,2016-03-16,0.006675930800867619,0.006605013044177504,0.8417804264270634,0.029912843121500256,5.982568624300051e-06,6.493518806581446e-05,7.09177566901145e-05
2016-03-18,2016-03-17,0.0005289734035510267,0.0004720433449917679,0.8637861596608652,0.026966073763753567,5.393214752750714e-06,5.1536843806508033e-05,5.693005855925875e-05
2016-03-21,2016-03-18,-0.0008372679213299211,-0.0008482901964228485,0.8629602204925456,0.0042931529735908205,8.586305947181641e-07,1.0163644498209186e-05,1.102227509292735e-05
2016-03-22,2016-03-21,-0.0003245342497194892,-0.00038718652166315384,0.883163472140202,0.027035630788068303,5.407126157613661e-06,5.724514578605096e-05,6.265227194366462e-05
2016-03-23,2016-03-22,-0.008992211807387084,-0.009139120947050496,0.9476716161370551,0.06450814399685326,1.2901628799370653e-05,0.00013400751086404045,0.0001469091396634111
2016-03-24,2016-03-23,-0.001121338300780433,-0.0012435351736281605,0.8980055965084984,0.049666019628556726,9.933203925711346e-06,0.00011226366892201613,0.00012219687284772748
2016-03-28,2016-03-24,0.0009947506868941635,0.0009700427259813452,0.9097723301845866,0.012661530069672529,2.532306013934506e-06,2.217565489888375e-05,2.4707960912818258e-05
2016-03-29,2016-03-28,0.011128391319115681,0.011108823728570486,0.9192567323655356,0.00965535310157898,1.931070620315796e-06,1.76365199248799e-05,1.95675905451957e-05
2016-03-30,2016-03-29,0.0025297682159928937,0.002120082430584455,0.8642287746422539,0.21544461854770333,4.308892370954067e-05,0.00036659686169889823,0.00040968578540843893
2016-03-31,2016-03-30,-0.001954089811359795,-0.002218470892280571,1.0,0.1567974530014622,3.1359490600292436e-05,0.000233021590320484,0.00026438108092077643
2016-04-01,2016-03-31,0.002195943411901795,0.0021676411499047315,0.9999999999999999,0.014019669609194658,2.803933921838932e-06,2.5498328075224308e-05,2.8302261997063243e-05
2016-04-04,2016-04-01,-0.005730707020783727,-0.005770563139463521,0.9999999999999999,0.016768247539731704,3.353649507946341e-06,3.650246917184718e-05,3.9856118679793524e-05
2016-04-05,2016-04-04,-0.009824124898177225,-0.00985395673471561,1.0000000000000002,0.012611630415878004,2.522326083175601e-06,2.7309510455209615e-05,2.9831836538385217e-05
2016-04-06,2016-04-05,0.011516578801674728,0.01143877754782567,0.9889546377422342,0.03034368467462148,6.068736934924296e-06,7.173251691413512e-05,7.780125384905943e-05
2016-04-07,2016-04-06,-0.01219457256083005,-0.012281201166842847,1.0000000000000002,0.04044242021669258,8.088484043338517e-06,7.85401219694591e-05,8.662860601279761e-05
2016-04-08,2016-04-07,0.0065262876321561724,0.006363086040293789,0.9312694132873172,0.07738999340032655,1.5477998680065312e-05,0.00014772359318231882,0.00016320159186238413
2016-04-11,2016-04-08,0.002224469161325472,0.0021571282504375972,0.9230729275502759,0.021016678920980546,4.203335784196109e-06,6.313757510367854e-05,6.734091088787464e-05
2016-04-12,2016-04-11,0.008152578717477266,0.007764154866005436,0.9999999999999998,0.21650074464490573,4.330014892898115e-05,0.0003451237025428484,0.0003884238514718295
2016-04-13,2016-04-12,0.010487940187249713,0.010440026345407425,1.0,0.022539897399444918,4.507979479888984e-06,4.340586236239993e-05,4.791384184228891e-05
2016-04-14,2016-04-13,-0.0019361814822468088,-0.002007717847714444,1.0,0.031753429063040066,6.350685812608014e-06,6.518567965502714e-05,7.153636546763516e-05
2016-04-15,2016-04-14,-0.0007092094881172592,-0.0007587087972221868,1.0,0.022593432939927376,4.518686587985476e-06,4.4980622516942115e-05,4.949930910492759e-05
2016-04-18,2016-04-15,0.0037112111859274816,0.003667978039936447,1.0000000000000002,0.02037444638933516,4.074889277867032e-06,3.915825671316744e-05,4.323314599103448e-05
2016-04-19,2016-04-18,0.003962201897156864,0.0035810103425142313,1.0,0.17623813833412924,3.5247627666825846e-05,0.0003459439269758067,0.00038119155464263257
2016-04-20,2016-04-19,0.0007894826052361708,0.0007502705447637943,1.0000000000000002,0.01925986276084602,3.851972552169204e-06,3.536008792020729e-05,3.92120604723765e-05
2016-04-21,2016-04-20,-0.005251849057951936,-0.00528877393373853,1.0000000000000002,0.018718578764504654,3.7437157529009307e-06,3.318116003369297e-05,3.69248757865939e-05
2016-04-22,2016-04-21,-0.003048494560487231,-0.0031013390004263792,0.9999999999999998,0.02489519998350123,4.979039996700246e-06,4.78653999424479e-05,5.2844439939148145e-05
2016-04-25,2016-04-22,-0.003694446587201356,-0.0037842043011074317,1.0,0.04485064536758139,8.970129073516278e-06,8.07875848325599e-05,8.975771390607617e-05
