ts,symbol,weight
2016-01-04,EEM,0.0
2016-01-04,EFA,0.0
2016-01-04,GLD,0.0
2016-01-04,IWM,0.0
2016-01-04,QQQ,0.0
2016-01-04,SPY,0.0
2016-01-04,TLT,0.0
2016-01-04,USO,0.0
2016-01-04,XLF,0.0
2016-01-04,XLK,0.0
2016-01-05,EEM,0.0
2016-01-05,EFA,0.0
2016-01-05,GLD,0.0
2016-01-05,IWM,0.0
2016-01-05,QQQ,0.0
2016-01-05,SPY,0.0
2016-01-05,TLT,0.0
2016-01-05,USO,0.0
2016-01-05,XLF,0.0
2016-01-05,XLK,0.0
2016-01-06,EEM,0.0
2016-01-06,EFA,0.0
2016-01-06,GLD,0.0
2016-01-06,IWM,0.0
2016-01-06,QQQ,0.0
2016-01-06,SPY,0.0
2016-01-06,TLT,0.0
2016-01-06,USO,0.0
2016-01-06,XLF,0.0
2016-01-06,XLK,0.0
2016-01-07,EEM,0.0
2016-01-07,EFA,0.0
2016-01-07,GLD,0.0
2016-01-07,IWM,0.0
2016-01-07,QQQ,0.0
2016-01-07,SPY,0.0
2016-01-07,TLT,0.0
2016-01-07,USO,0.0
2016-01-07,XLF,0.0
2016-01-07,XLK,0.0
2016-01-08,EEM,0.0
2016-01-08,EFA,0.0
2016-01-08,GLD,0.0
2016-01-08,IWM,0.0
2016-01-08,QQQ,0.0
2016-01-08,SPY,0.0
2016-01-08,TLT,0.0
2016-01-08,USO,0.0
2016-01-08,XLF,0.0
2016-01-08,XLK,0.0
2016-01-11,EEM,0.0
2016-01-11,EFA,0.0
2016-01-11,GLD,0.0
2016-01-11,IWM,0.0
2016-01-11,QQQ,0.0
2016-01-11,SPY,0.0
2016-01-11,TLT,0.0
2016-01-11,USO,0.0
2016-01-11,XLF,0.0
2016-01-11,XLK,0.0
2016-01-12,EEM,0.0
2016-01-12,EFA,0.0
2016-01-12,GLD,0.0
2016-01-12,IWM,0.0
2016-01-12,QQQ,0.0
2016-01-12,SPY,0.0
2016-01-12,TLT,0.0
2016-01-12,USO,0.0
2016-01-12,XLF,0.0
2016-01-12,XLK,0.0
