ts,decision_ts,gross,net,exposure,turnover,txn_cost,slippage_cost,costs
2016-01-05,2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,2016-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,2016-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,2016-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,2016-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,2016-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-13,2016-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-14,2016-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,2016-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,2016-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,2016-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,2016-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,2016-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,2016-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,2016-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,2016-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,2016-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,2016-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,2016-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,2016-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,2016-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,2016-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,2016-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,2016-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,2016-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,2016-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,2016-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,2016-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,2016-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,2016-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,2016-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,2016-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,2016-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,2016-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,2016-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,2016-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-02,2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-03,2016-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-04,2016-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-07,2016-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-08,2016-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-09,2016-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-10,2016-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-11,2016-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-14,2016-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-15,2016-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-16,2016-03-15,0.008550659948410365,0.006492793483210427,0.8231465860799754,0.8231465860799753,0.0016462931721599506,0.00041157329303998766,0.0020578664651999382
2016-03-17,2016-03-16,0.006675930800867619,0.006601148693063868,0.8417804264270634,0.029912843121500256,5.982568624300051e-05,1.4956421560750128e-05,7.478210780375064e-05
2016-03-18,2016-03-17,0.0005289734035510267,0.00046155821914164275,0.8637861596608652,0.026966073763753567,5.3932147527507136e-05,1.3483036881876784e-05,6.741518440938391e-05
2016-03-21,2016-03-18,-0.0008372679213299211,-0.0008480008037638982,0.8629602204925456,0.0042931529735908205,8.58630594718164e-06,2.14657648679541e-06,1.073288243397705e-05
2016-03-22,2016-03-21,-0.0003245342497194892,-0.00039212332668965994,0.883163472140202,0.027035630788068303,5.407126157613661e-05,1.3517815394034153e-05,6.758907697017076e-05
2016-03-23,2016-03-22,-0.008992211807387084,-0.009153482167379217,0.9476716161370551,0.06450814399685326,0.00012901628799370652,3.225407199842663e-05,0.00016127035999213314
2016-03-24,2016-03-23,-0.001121338300780433,-0.0012455033498518248,0.8980055965084984,0.049666019628556726,9.933203925711346e-05,2.4833009814278365e-05,0.0001241650490713918
2016-03-28,2016-03-24,0.0009947506868941635,0.0009630968617199821,0.9097723301845866,0.012661530069672529,2.5323060139345057e-05,6.330765034836264e-06,3.165382517418132e-05
2016-03-29,2016-03-28,0.011128391319115681,0.011104252936361733,0.9192567323655356,0.00965535310157898,1.931070620315796e-05,4.82767655078949e-06,2.413838275394745e-05
2016-03-30,2016-03-29,0.0025297682159928937,0.001991156669623635,0.8642287746422539,0.21544461854770333,0.00043088923709540673,0.00010772230927385168,0.0005386115463692584
2016-03-31,2016-03-30,-0.001954089811359795,-0.0023460834438634504,1.0,0.1567974530014622,0.00031359490600292437,7.839872650073109e-05,0.00039199363250365545
2016-04-01,2016-03-31,0.002195943411901795,0.0021608942378788082,0.9999999999999999,0.014019669609194658,2.8039339218389317e-05,7.009834804597329e-06,3.504917402298665e-05
2016-04-04,2016-04-01,-0.005730707020783727,-0.005772627639633056,0.9999999999999999,0.016768247539731704,3.3536495079463406e-05,8.384123769865852e-06,4.192061884932926e-05
2016-04-05,2016-04-04,-0.009824124898177225,-0.00985565397421692,1.0000000000000002,0.012611630415878004,2.522326083175601e-05,6.3058152079390026e-06,3.152907603969501e-05
2016-04-06,2016-04-05,0.011516578801674728,0.011440719589988175,0.9889546377422342,0.03034368467462148,6.068736934924296e-05,1.517184233731074e-05,7.58592116865537e-05
2016-04-07,2016-04-06,-0.01219457256083005,-0.01229567861137178,1.0000000000000002,0.04044242021669258,8.088484043338516e-05,2.022121010834629e-05,0.00010110605054173145
2016-04-08,2016-04-07,0.0065262876321561724,0.006332812648655356,0.9312694132873172,0.07738999340032655,0.00015477998680065312,3.869499670016328e-05,0.0001934749835008164
2016-04-11,2016-04-08,0.002224469161325472,0.0021719274640230207,0.9230729275502759,0.021016678920980546,4.203335784196109e-05,1.0508339460490272e-05,5.2541697302451366e-05
2016-04-12,2016-04-11,0.008152578717477266,0.007611326855865001,0.9999999999999998,0.21650074464490573,0.0004330014892898115,0.00010825037232245287,0.0005412518616122644
2016-04-13,2016-04-12,0.010487940187249713,0.010431590443751101,1.0,0.022539897399444918,4.5079794798889836e-05,1.1269948699722459e-05,5.63497434986123e-05
2016-04-14,2016-04-13,-0.0019361814822468088,-0.002015565054904409,1.0,0.031753429063040066,6.350685812608013e-05,1.5876714531520034e-05,7.938357265760017e-05
2016-04-15,2016-04-14,-0.0007092094881172592,-0.0007656930704670776,1.0,0.022593432939927376,4.518686587985475e-05,1.1296716469963688e-05,5.648358234981844e-05
2016-04-18,2016-04-15,0.0037112111859274816,0.0036602750699541438,1.0000000000000002,0.02037444638933516,4.074889277867032e-05,1.018722319466758e-05,5.0936115973337895e-05
2016-04-19,2016-04-18,0.003962201897156864,0.0035216065513215405,1.0,0.17623813833412924,0.0003524762766682585,8.811906916706463e-05,0.0004405953458353231
2016-04-20,2016-04-19,0.0007894826052361708,0.0007413329483340557,1.0000000000000002,0.01925986276084602,3.851972552169204e-05,9.62993138042301e-06,4.814965690211505e-05
2016-04-21,2016-04-20,-0.005251849057951936,-0.0052986455048631975,1.0000000000000002,0.018718578764504654,3.743715752900931e-05,9.359289382252327e-06,4.679644691126164e-05
2016-04-22,2016-04-21,-0.003048494560487231,-0.003110732560445984,0.9999999999999998,0.02489519998350123,4.9790399967002466e-05,1.2447599991750617e-05,6.223799995875308e-05
2016-04-25,2016-04-22,-0.003694446587201356,-0.003806573200620309,1.0,0.04485064536758139,8.970129073516278e-05,2.2425322683790695e-05,0.00011212661341895348
