ts,decision_ts,gross,net,exposure,turnover,txn_cost,slippage_cost,costs
2016-01-05,2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,2016-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,2016-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,2016-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,2016-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,2016-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-13,2016-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-14,2016-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,2016-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,2016-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,2016-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,2016-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,2016-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,2016-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,2016-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,2016-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,2016-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,2016-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,2016-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,2016-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,2016-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,2016-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,2016-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,2016-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,2016-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,2016-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,2016-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,2016-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,2016-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,2016-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,2016-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,2016-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,2016-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,2016-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,2016-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,2016-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-02,2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-03,2016-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-04,2016-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-07,2016-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-08,2016-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-09,2016-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-10,2016-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-11,2016-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-14,2016-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-15,2016-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-16,2016-03-15,0.008550659948410365,0.008550659948410365,0.8231465860799754,0.8231465860799753,0.0,0.0,0.0
2016-03-17,2016-03-16,0.006675930800867619,0.006675930800867619,0.8417804264270634,0.029912843121500256,0.0,0.0,0.0
2016-03-18,2016-03-17,0.0005289734035510267,0.0005289734035510267,0.8637861596608652,0.026966073763753567,0.0,0.0,0.0
2016-03-21,2016-03-18,-0.0008372679213299211,-0.0008372679213299211,0.8629602204925456,0.0042931529735908205,0.0,0.0,0.0
2016-03-22,2016-03-21,-0.0003245342497194892,-0.0003245342497194892,0.883163472140202,0.027035630788068303,0.0,0.0,0.0
2016-03-23,2016-03-22,-0.008992211807387084,-0.008992211807387084,0.9476716161370551,0.06450814399685326,0.0,0.0,0.0
2016-03-24,2016-03-23,-0.001121338300780433,-0.001121338300780433,0.8980055965084984,0.049666019628556726,0.0,0.0,0.0
2016-03-28,2016-03-24,0.0009947506868941635,0.0009947506868941635,0.9097723301845866,0.012661530069672529,0.0,0.0,0.0
2016-03-29,2016-03-28,0.011128391319115681,0.011128391319115681,0.9192567323655356,0.00965535310157898,0.0,0.0,0.0
2016-03-30,2016-03-29,0.0025297682159928937,0.0025297682159928937,0.8642287746422539,0.21544461854770333,0.0,0.0,0.0
2016-03-31,2016-03-30,-0.001954089811359795,-0.001954089811359795,1.0,0.1567974530014622,0.0,0.0,0.0
2016-04-01,2016-03-31,0.002195943411901795,0.002195943411901795,0.9999999999999999,0.014019669609194658,0.0,0.0,0.0
2016-04-04,2016-04-01,-0.005730707020783727,-0.005730707020783727,0.9999999999999999,0.016768247539731704,0.0,0.0,0.0
2016-04-05,2016-04-04,-0.009824124898177225,-0.009824124898177225,1.0000000000000002,0.012611630415878004,0.0,0.0,0.0
2016-04-06,2016-04-05,0.011516578801674728,0.011516578801674728,0.9889546377422342,0.03034368467462148,0.0,0.0,0.0
2016-04-07,2016-04-06,-0.01219457256083005,-0.01219457256083005,1.0000000000000002,0.04044242021669258,0.0,0.0,0.0
2016-04-08,2016-04-07,0.0065262876321561724,0.0065262876321561724,0.9312694132873172,0.07738999340032655,0.0,0.0,0.0
2016-04-11,2016-04-08,0.002224469161325472,0.002224469161325472,0.9230729275502759,0.021016678920980546,0.0,0.0,0.0
2016-04-12,2016-04-11,0.008152578717477266,0.008152578717477266,0.9999999999999998,0.21650074464490573,0.0,0.0,0.0
2016-04-13,2016-04-12,0.010487940187249713,0.010487940187249713,1.0,0.022539897399444918,0.0,0.0,0.0
2016-04-14,2016-04-13,-0.0019361814822468088,-0.0019361814822468088,1.0,0.031753429063040066,0.0,0.0,0.0
2016-04-15,2016-04-14,-0.0007092094881172592,-0.0007092094881172592,1.0,0.022593432939927376,0.0,0.0,0.0
2016-04-18,2016-04-15,0.0037112111859274816,0.0037112111859274816,1.0000000000000002,0.02037444638933516,0.0,0.0,0.0
2016-04-19,2016-04-18,0.003962201897156864,0.003962201897156864,1.0,0.17623813833412924,0.0,0.0,0.0
2016-04-20,2016-04-19,0.0007894826052361708,0.0007894826052361708,1.0000000000000002,0.01925986276084602,0.0,0.0,0.0
2016-04-21,2016-04-20,-0.005251849057951936,-0.005251849057951936,1.0000000000000002,0.018718578764504654,0.0,0.0,0.0
2016-04-22,2016-04-21,-0.003048494560487231,-0.003048494560487231,0.9999999999999998,0.02489519998350123,0.0,0.0,0.0
2016-04-25,2016-04-22,-0.003694446587201356,-0.003694446587201356,1.0,0.04485064536758139,0.0,0.0,0.0
2016-04-26,2016-04-25,0.0023777841384199565,0.0023777841384199565,0.9999999999999998,0.0057401697445328345,0.0,0.0,0.0
2016-04-27,2016-04-26,0.0025477944719499842,0.0025477944719499842,1.0,0.04132477505332724,0.0,0.0,0.0
2016-04-28,2016-04-27,-0.008306736215123702,-0.008306736215123702,1.0,0.009697682878756775,0.0,0.0,0.0
2016-04-29,2016-04-28,-0.004337006932227822,-0.004337006932227822,0.9999999999999999,0.022968148960391774,0.0,0.0,0.0
2016-05-02,2016-04-29,0.0026231473440117784,0.0026231473440117784,0.9999999999999997,0.17912603936760507,0.0,0.0,0.0
2016-05-03,2016-05-02,-0.009599425480369695,-0.009599425480369695,1.0000000000000002,0.02713297063349108,0.0,0.0,0.0
2016-05-04,2016-05-03,-0.005379577746438118,-0.005379577746438118,1.0,0.025785001713895472,0.0,0.0,0.0
2016-05-05,2016-05-04,0.0005202490947859871,0.0005202490947859871,0.9999999999999999,0.04176854852482221,0.0,0.0,0.0
2016-05-06,2016-05-05,0.00396389743368536,0.00396389743368536,1.0,0.021071874649582628,0.0,0.0,0.0
2016-05-09,2016-05-06,-0.003172043185062746,-0.003172043185062746,0.9999999999999999,0.032975148032017385,0.0,0.0,0.0
