ts,decision_ts,gross,net,exposure,turnover,txn_cost,slippage_cost,costs
2016-01-05,2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,2016-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,2016-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,2016-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,2016-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,2016-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-13,2016-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-14,2016-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,2016-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,2016-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,2016-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,2016-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,2016-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,2016-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,2016-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,2016-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,2016-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,2016-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,2016-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,2016-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,2016-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,2016-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,2016-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,2016-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,2016-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,2016-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,2016-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,2016-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,2016-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,2016-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,2016-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,2016-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,2016-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,2016-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,2016-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,2016-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-02,2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-03,2016-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-04,2016-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-07,2016-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-08,2016-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-09,2016-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-10,2016-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-11,2016-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-14,2016-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-15,2016-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-16,2016-03-15,0.008550659948410365,0.00805677199676238,0.8231465860799754,0.8231465860799753,0.00041157329303998766,8.231465860799754e-05,0.0004938879516479852
2016-03-17,2016-03-16,0.006675930800867619,0.006657983094994719,0.8417804264270634,0.029912843121500256,1.4956421560750128e-05,2.9912843121500255e-06,1.7947705872900152e-05
2016-03-18,2016-03-17,0.0005289734035510267,0.0005127937592927745,0.8637861596608652,0.026966073763753567,1.3483036881876784e-05,2.696607376375357e-06,1.617964425825214e-05
2016-03-21,2016-03-18,-0.0008372679213299211,-0.0008398438131140757,0.8629602204925456,0.0042931529735908205,2.14657648679541e-06,4.2931529735908206e-07,2.575891784154492e-06
2016-03-22,2016-03-21,-0.0003245342497194892,-0.00034075562819233017,0.883163472140202,0.027035630788068303,1.3517815394034153e-05,2.7035630788068306e-06,1.6221378472840984e-05
2016-03-23,2016-03-22,-0.008992211807387084,-0.009030916693785196,0.9476716161370551,0.06450814399685326,3.225407199842663e-05,6.450814399685326e-06,3.8704886398111954e-05
2016-03-24,2016-03-23,-0.001121338300780433,-0.001151137912557567,0.8980055965084984,0.049666019628556726,2.4833009814278365e-05,4.966601962855673e-06,2.9799611777134035e-05
2016-03-28,2016-03-24,0.0009947506868941635,0.00098715376885236,0.9097723301845866,0.012661530069672529,6.330765034836264e-06,1.266153006967253e-06,7.596918041803516e-06
2016-03-29,2016-03-28,0.011128391319115681,0.011122598107254734,0.9192567323655356,0.00965535310157898,4.82767655078949e-06,9.65535310157898e-07,5.793211860947388e-06
2016-03-30,2016-03-29,0.0025297682159928937,0.0024005014448642715,0.8642287746422539,0.21544461854770333,0.00010772230927385168,2.1544461854770336e-05,0.000129266771128622
2016-03-31,2016-03-30,-0.001954089811359795,-0.0020481682831606724,1.0,0.1567974530014622,7.839872650073109e-05,1.5679745300146218e-05,9.407847180087731e-05
2016-04-01,2016-03-31,0.002195943411901795,0.0021875316101362782,0.9999999999999999,0.014019669609194658,7.009834804597329e-06,1.401966960919466e-06,8.411801765516796e-06
2016-04-04,2016-04-01,-0.005730707020783727,-0.005740767969307566,0.9999999999999999,0.016768247539731704,8.384123769865852e-06,1.6768247539731704e-06,1.0060948523839022e-05
2016-04-05,2016-04-04,-0.009824124898177225,-0.009831691876426752,1.0000000000000002,0.012611630415878004,6.3058152079390026e-06,1.2611630415878006e-06,7.566978249526803e-06
2016-04-06,2016-04-05,0.011516578801674728,0.011498372590869955,0.9889546377422342,0.03034368467462148,1.517184233731074e-05,3.034368467462148e-06,1.8206210804772887e-05
2016-04-07,2016-04-06,-0.01219457256083005,-0.012218838012960065,1.0000000000000002,0.04044242021669258,2.022121010834629e-05,4.0442420216692586e-06,2.4265452130015548e-05
2016-04-08,2016-04-07,0.0065262876321561724,0.0064798536361159766,0.9312694132873172,0.07738999340032655,3.869499670016328e-05,7.738999340032656e-06,4.6433996040195934e-05
2016-04-11,2016-04-08,0.002224469161325472,0.0022118591539728835,0.9230729275502759,0.021016678920980546,1.0508339460490272e-05,2.1016678920980544e-06,1.2610007352588327e-05
2016-04-12,2016-04-11,0.008152578717477266,0.008022678270690323,0.9999999999999998,0.21650074464490573,0.00010825037232245287,2.1650074464490575e-05,0.00012990044678694345
2016-04-13,2016-04-12,0.010487940187249713,0.010474416248810046,1.0,0.022539897399444918,1.1269948699722459e-05,2.253989739944492e-06,1.352393843966695e-05
2016-04-14,2016-04-13,-0.0019361814822468088,-0.0019552335396846327,1.0,0.031753429063040066,1.5876714531520034e-05,3.175342906304007e-06,1.9052057437824038e-05
2016-04-15,2016-04-14,-0.0007092094881172592,-0.0007227655478812157,1.0,0.022593432939927376,1.1296716469963688e-05,2.259343293992738e-06,1.3556059763956425e-05
2016-04-18,2016-04-15,0.0037112111859274816,0.0036989865180938803,1.0000000000000002,0.02037444638933516,1.018722319466758e-05,2.037444638933516e-06,1.2224667833601095e-05
2016-04-19,2016-04-18,0.003962201897156864,0.003856459014156386,1.0,0.17623813833412924,8.811906916706463e-05,1.7623813833412923e-05,0.00010574288300047754
2016-04-20,2016-04-19,0.0007894826052361708,0.0007779266875796632,1.0000000000000002,0.01925986276084602,9.62993138042301e-06,1.925986276084602e-06,1.1555917656507613e-05
2016-04-21,2016-04-20,-0.005251849057951936,-0.005263080205210639,1.0000000000000002,0.018718578764504654,9.359289382252327e-06,1.8718578764504654e-06,1.1231147258702792e-05
2016-04-22,2016-04-21,-0.003048494560487231,-0.0030634316804773317,0.9999999999999998,0.02489519998350123,1.2447599991750617e-05,2.489519998350123e-06,1.4937119990100739e-05
