symbol,status,source,rows,start,end,missing_days_pct
SPY,success,yahoo,2012,2016-01-04,2023-12-29,0.035936751317680884
QQQ,success,yahoo,2012,2016-01-04,2023-12-29,0.035936751317680884
IWM,success,yahoo,2012,2016-01-04,2023-12-29,0.035936751317680884
EFA,success,yahoo,2012,2016-01-04,2023-12-29,0.035936751317680884
EEM,success,yahoo,2012,2016-01-04,2023-12-29,0.035936751317680884
TLT,success,yahoo,2012,2016-01-04,2023-12-29,0.035936751317680884
GLD,success,yahoo,2012,2016-01-04,2023-12-29,0.035936751317680884
USO,success,yahoo,2012,2016-01-04,2023-12-29,0.035936751317680884
XLF,success,yahoo,2012,2016-01-04,2023-12-29,0.035936751317680884
XLK,success,yahoo,2012,2016-01-04,2023-12-29,0.035936751317680884
