ts,symbol,open,high,low,close,volume
2016-01-01,SPY,476.2999877929688,477.8500061035156,473.8500061035156,477.7099914550781,72668200
2016-01-04,SPY,479.2200012207031,479.9800109863281,475.5799865722656,477.5499877929688,71178700
2016-01-05,SPY,477.1600036621094,477.9800109863281,468.2799987792969,468.3800048828125,104538900
2016-01-06,SPY,467.8900146484375,470.8200073242188,465.4299926757813,467.9400024414063,86858900
2016-01-07,SPY,467.9500122070313,469.2000122070313,464.6499938964844,466.0899963378906,85111600
2016-01-08,SPY,462.7000122070313,465.739990234375,456.6000061035156,465.510009765625,119362000
2016-01-11,SPY,465.2300109863281,469.8500061035156,462.0499877929688,469.75,74303100
2016-01-12,SPY,471.5899963378906,473.2000122070313,468.9400024414063,471.0199890136719,67605400
2016-01-13,SPY,472.1900024414063,472.8800048828125,463.4400024414063,464.5299987792969,91173100
2016-01-14,SPY,461.1900024414063,465.0899963378906,459.8999938964844,464.7200012207031,95890900
2016-01-15,SPY,459.739990234375,459.9599914550781,455.30999755859375,456.489990234375,109709100
2016-01-18,SPY,458.1300048828125,459.6099853515625,451.4599914550781,451.75,109357600
2016-01-19,SPY,453.75,458.739990234375,444.5,446.75,122379700
2016-01-20,SPY,445.55999755859375,448.05999755859375,437.9500122070313,437.9800109863281,202271200
2016-01-21,SPY,432.0299987792969,440.3800048828125,420.760009765625,439.8399963378906,251783900
2016-01-22,SPY,433.05999755859375,439.7200012207031,427.1499938964844,434.4700012207031,167997300
2016-01-25,SPY,440.7200012207031,444.0400085449219,428.8599853515625,433.3800048828125,186391100
2016-01-26,SPY,438.260009765625,441.5899963378906,429.4500122070313,431.239990234375,149878300
2016-01-27,SPY,432.6799926757813,442.0,427.8200073242188,441.9500122070313,164457400
2016-01-28,SPY,441.239990234375,450.2799987792969,439.80999755859375,449.9100036621094,152251400
2016-01-29,SPY,450.6799926757813,453.6300048828125,446.9400024414063,452.9500122070313,123155400
2016-02-01,SPY,455.5,458.1199951171875,453.0499877929688,457.3500061035156,117361000
2016-02-02,SPY,450.9500122070313,452.9700012207031,445.7099914550781,446.6000061035156,118024400
2016-02-03,SPY,446.3500061035156,452.7799987792969,443.8299865722656,448.7000122070313,118454400
2016-02-04,SPY,449.510009765625,450.989990234375,445.8500061035156,447.260009765625,84472900
2016-02-05,SPY,446.7300109863281,451.9200134277344,445.2200012207031,450.9400024414063,81012000
2016-02-08,SPY,455.2200012207031,457.8800048828125,455.010009765625,457.5400085449219,92589900
2016-02-09,SPY,451.3399963378906,457.7099914550781,447.2000122070313,449.3200073242188,140103700
2016-02-10,SPY,449.4100036621094,451.6099853515625,438.9400024414063,440.4599914550781,153214600
2016-02-11,SPY,439.9200134277344,441.6000061035156,435.3399963378906,439.0199890136719,123006300
2016-02-12,SPY,443.7300109863281,446.2799987792969,443.1799926757813,446.1000061035156,88482700
2016-02-15,SPY,443.9299926757813,448.05999755859375,441.9400024414063,446.6000061035156,84863600
2016-02-16,SPY,443.2200012207031,446.5700073242188,436.4200134277344,437.05999755859375,102259100
2016-02-17,SPY,437.3299865722656,438.6600036621094,431.8200073242188,434.2300109863281,132642900
2016-02-18,SPY,431.8900146484375,435.5,425.8599853515625,429.5700073242188,124391800
2016-02-19,SPY,432.6600036621094,433.260009765625,421.3500061035156,421.9500122070313,132578000
2016-02-22,SPY,411.0199890136719,428.760009765625,410.6400146484375,428.2999877929688,213942900
2016-02-23,SPY,429.6099853515625,437.8399963378906,427.8599853515625,437.75,121804500
2016-02-24,SPY,432.0299987792969,438.2000122070313,430.7000122070313,436.6300048828125,145615000
2016-02-25,SPY,435.0400085449219,437.1700134277344,427.1099853515625,429.9800109863281,137785900
2016-02-26,SPY,432.3699951171875,439.7200012207031,431.5700073242188,437.8900146484375,117726500
2016-02-29,SPY,440.4700012207031,441.1099853515625,433.7999877929688,435.7099914550781,105501700
2016-03-01,SPY,431.75,433.3699951171875,427.8800048828125,432.1700134277344,113978200
2016-03-02,SPY,431.5499877929688,432.2999877929688,419.3599853515625,419.4299926757813,137896600
2016-03-03,SPY,419.6199951171875,427.2099914550781,415.1199951171875,416.25,164772700
2016-03-04,SPY,425.1400146484375,429.510009765625,422.8200073242188,427.4100036621094,116990800
2016-03-07,SPY,422.5199890136719,426.4299926757813,420.4400024414063,425.4800109863281,93972700
2016-03-08,SPY,428.1199951171875,428.7699890136719,419.5299987792969,420.0700073242188,95636300
2016-03-09,SPY,420.8900146484375,424.5499877929688,415.7900085449219,417.0,95729200
2016-03-10,SPY,419.7699890136719,426.8399963378906,418.4200134277344,426.1700134277344,106219100
2016-03-11,SPY,429.8900146484375,435.6799926757813,424.7999877929688,435.6199951171875,144954800
2016-03-14,SPY,433.5899963378906,441.0700073242188,433.1900024414063,441.0700073242188,102676900
2016-03-15,SPY,438.0,444.8599853515625,437.2200012207031,444.5199890136719,106345500
2016-03-16,SPY,444.3399963378906,446.4599914550781,440.6799926757813,444.3900146484375,88349800
2016-03-17,SPY,445.8599853515625,450.5799865722656,445.8599853515625,449.5899963378906,74650400
2016-03-18,SPY,446.9100036621094,448.489990234375,443.7099914550781,443.7999877929688,79426100
2016-03-21,SPY,445.9400024414063,450.5,444.760009765625,450.489990234375,64736900
2016-03-22,SPY,451.1600036621094,452.9800109863281,448.4299926757813,452.6900024414063,77101300
2016-03-23,SPY,452.05999755859375,455.9100036621094,450.05999755859375,455.9100036621094,68529800
2016-03-24,SPY,460.0199890136719,462.0700073242188,457.1799926757813,461.5499877929688,86581500
