Date,Open,High,Low,Close,Volume
2023-06-30,431.267,434.06,430.945,433.065,107439982
2023-06-29,425.914,428.18,425.502,428.013,69483558
2023-06-28,425.025,427.359,424.4,426.334,77420129
2023-06-27,422.386,426.743,421.927,426.119,74531278
2023-06-26,422.651,424.594,421.253,421.496,74541372
2023-06-23,422.954,425.035,422.504,423.227,94246454
2023-06-22,423.95,426.558,423.607,426.451,72303413
2023-06-21,426.109,426.921,424.321,424.917,78798161
2023-06-20,427.369,428.267,425.005,427.106,77956882
2023-06-16,432.809,433.385,428.855,429.333,116858871
2023-06-15,424.698,432.066,424.599,430.801,113324488
2023-06-14,425.358,427.355,422.031,425.524,103368023
2023-06-13,423.714,425.67,423.042,425.019,98526567
2023-06-12,419.431,422.313,418.701,422.234,78345509
2023-06-09,418.496,420.472,417.437,418.438,87993299
2023-06-08,415.247,418.146,414.468,417.689,63649840
2023-06-07,417.017,418.166,414.75,415.178,87711800
2023-06-06,415.294,417.15,414.632,416.618,65775856
2023-06-05,416.861,418.166,415.002,415.713,67253228
2023-06-02,413.182,417.309,412.647,416.51,93930496
2023-06-01,406.944,411.644,405.678,410.574,91299188
2023-05-31,407.129,408.043,405.123,406.709,113847111
2023-05-30,410.779,411.314,407.57,408.977,74194083
2023-05-26,404.256,409.55,404.179,408.822,96400144
2023-05-25,403.682,405.065,401.415,403.595,93453206
2023-05-24,401.425,401.814,398.952,400.13,91657399
2023-05-23,405.96,407.557,402.651,403.05,88749690
2023-05-22,407.48,409.182,406.222,407.623,62409323
2023-05-19,408.967,409.502,406.222,407.46,106636400
2023-05-18,403.839,408.481,403.615,408.053,99839051
2023-05-17,401.356,404.769,399.687,404.16,89677902
2023-05-16,400.879,401.809,399.302,399.312,59286151
2023-05-15,401.229,402.408,399.292,401.998,55776465
2023-05-12,402.399,402.612,398.163,400.615,72412163
2023-05-11,400.966,401.435,399.038,401.143,72078790
2023-05-10,402.845,403.483,397.969,401.844,98776447
2023-05-09,400.169,401.104,399.74,399.975,50568345
2023-05-08,401.959,402.221,400.315,401.735,51417638
2023-05-05,398.009,402.69,397.747,401.629,90299303
2023-05-04,396.082,396.412,392.975,394.328,97501393
2023-05-03,400.392,402.836,396.897,397.142,94038987
2023-05-02,403.711,403.76,396.946,399.886,106847187
2023-05-01,404.393,406.486,404.194,404.432,63823893
2023-04-28,400.519,404.85,400.461,404.841,91882869
2023-04-27,396.149,401.686,395.894,401.415,95514938
2023-04-26,395.875,396.966,393.014,393.579,82650636
2023-04-25,399.634,400.198,395.195,395.253,100444725
2023-04-24,401.005,402.057,399.653,401.629,66094265
2023-04-21,401.199,401.677,399.235,401.209,75469551
2023-04-20,400.247,402.67,399.332,400.898,77917761
2023-04-19,401.229,404.013,401.172,403.1,56740104
2023-04-18,404.502,404.635,401.775,403.166,65301018
2023-04-17,401.376,402.923,400.125,402.903,68256210
2023-04-14,401.804,404.022,399.127,401.463,80302482
2023-04-13,398.271,402.808,397.115,402.446,88165372
2023-04-12,400.888,401.181,396.577,397.172,88787586
2023-04-11,399.322,400.218,398.019,398.795,60922221
2023-04-10,395.77,398.766,395.146,398.69,65425379
2023-04-06,395.924,398.562,394.862,398.281,65489388
2023-04-05,397.035,397.802,395.059,396.733,66986193
2023-04-04,400.645,400.937,396.383,397.775,68425868
2023-04-03,397.95,400.402,397.55,399.993,69237059
2023-03-31,393.872,398.775,393.764,398.475,115132218
2023-03-30,393.316,393.569,391.048,392.937,71753092
2023-03-29,389.262,390.892,388.05,390.649,79620680
2023-03-28,385.218,385.918,383.194,385.052,64593847
2023-03-27,387.506,388.284,385.015,385.918,76037684
2023-03-24,381.395,385.287,379.018,385.199,110722139
2023-03-23,384.556,388.644,379.943,382.688,122620563
2023-03-22,388.099,391.758,381.616,381.656,114807520
2023-03-21,386.649,388.762,385.035,388.275,94031260
2023-03-20,380.379,383.661,379.67,383.241,95604746
2023-03-17,382.737,383.885,378.191,379.592,144403419
2023-03-16,375.076,384.433,374.561,384.084,148255354
2023-03-15,374.174,377.664,372.059,377.46,178414042
2023-03-14,378.643,381.505,375.298,379.835,154441601
2023-03-13,370.218,378.537,369.093,373.659,162730895
2023-03-10,379.117,381.223,372.65,374.194,195179136
2023-03-09,387.602,389.289,378.672,379.671,115450702
2023-03-08,386.294,387.574,384.549,386.808,77087197
2023-03-07,392.142,392.383,385.553,386.177,111702161
2023-03-06,392.751,395.079,391.742,392.19,75075429
2023-03-03,387.574,392.171,386.915,391.919,92941907
2023-03-02,380.758,386.585,380.417,385.731,88079032
2023-03-01,383.404,384.646,381.436,382.754,102828975
2023-02-28,385.17,387.157,384.123,384.227,99458379
2023-02-27,387.728,389.106,384.704,385.654,82963728
2023-02-24,383.414,385.188,381.688,384.345,111582340
2023-02-23,389.367,389.989,384.218,388.496,99256068
2023-02-22,387.39,388.95,384.965,386.438,86364542
2023-02-21,390.822,391.889,386.711,386.972,85244155
2023-02-17,393.731,395.136,391.782,394.892,92052774
2023-02-16,396.379,400.372,395.748,395.883,78824792
2023-02-15,397.89,401.488,397.038,401.411,63616850
2023-02-14,398.753,402.448,396.109,400.111,91157076
2023-02-13,396.31,400.432,395.846,400.295,66946197
2023-02-10,393.537,396.039,392.712,395.649,72985750
2023-02-09,401.828,401.982,393.49,394.73,81159056
2023-02-08,400.587,401.943,397.483,398.182,78614397
2023-02-07,396.456,403.844,395.195,402.583,93839967
2023-02-06,397.348,398.801,395.708,397.388,62183372
2023-02-03,399.092,404.308,398.609,399.83,97703304
2023-02-02,402.264,405.608,400.343,404.125,104837602
2023-02-01,392.907,401.111,390.132,398.328,104636178
2023-01-31,388.95,394.188,388.6,394.139,89530151
2023-01-30,390.57,392.83,388.126,388.427,76525530
2023-01-27,391.398,395.768,391.191,393.362,70486326
2023-01-26,390.889,392.625,387.884,392.46,74550984
2023-01-25,383.928,388.535,381.609,388.196,87455628
2023-01-24,386.768,388.97,385.567,388.048,61388833
2023-01-23,384.675,390.42,383.705,388.467,86814715
2023-01-20,378.255,384.015,376.588,383.86,94681118
