ts,type,value,numerator,denominator
2016-06-22,dividend,0.266,,
2016-12-21,dividend,0.396,,
2017-06-20,dividend,0.192,,
2017-12-19,dividend,0.697,,
2018-06-19,dividend,0.29,,
2018-12-18,dividend,0.584,,
2019-06-17,dividend,0.311,,
2019-12-16,dividend,0.929,,
2020-06-15,dividend,0.23,,
2020-12-14,dividend,0.519,,
2021-06-10,dividend,0.241,,
2021-12-13,dividend,0.707,,
2021-12-30,dividend,0.026,,
2022-06-09,dividend,0.362,,
2022-12-13,dividend,0.584,,
2023-06-07,dividend,0.31,,
2023-12-20,dividend,0.748,,
