ts,type,value,numerator,denominator
2016-06-22,dividend,1.175,,
2016-12-21,dividend,0.596,,
2017-06-20,dividend,1.062,,
2017-12-19,dividend,0.743,,
2018-06-19,dividend,1.354,,
2018-12-18,dividend,0.638,,
2019-06-17,dividend,1.376,,
2019-12-16,dividend,0.776,,
2020-06-15,dividend,0.858,,
2020-12-14,dividend,0.694,,
2021-06-10,dividend,1.102,,
2021-12-13,dividend,1.352,,
2021-12-30,dividend,0.163,,
2022-06-09,dividend,1.498,,
2022-12-13,dividend,0.268,,
2023-06-07,dividend,1.311,,
2023-12-20,dividend,0.931,,
