ts,type,value,numerator,denominator
2016-03-23,dividend,0.327,,
2016-07-06,dividend,0.621,,
2016-09-26,dividend,0.344,,
2016-12-22,dividend,0.563,,
2017-03-24,dividend,0.387,,
2017-07-06,dividend,0.609,,
2017-09-26,dividend,0.349,,
2017-12-21,dividend,0.579,,
2018-03-22,dividend,0.362,,
2018-07-03,dividend,0.595,,
2018-09-26,dividend,0.45,,
2018-12-17,dividend,0.469,,
2019-03-20,dividend,0.412,,
2019-06-17,dividend,0.533,,
2019-09-24,dividend,0.544,,
2019-12-16,dividend,0.597,,
2020-03-25,dividend,0.42,,
2020-06-15,dividend,0.466,,
2020-09-23,dividend,0.566,,
2020-12-14,dividend,0.592,,
2021-03-25,dividend,0.398,,
2021-06-10,dividend,0.347,,
2021-09-24,dividend,0.679,,
2021-12-13,dividend,0.666,,
2022-03-24,dividend,0.4,,
2022-06-09,dividend,0.494,,
2022-09-26,dividend,0.861,,
2022-12-13,dividend,0.83,,
2023-03-23,dividend,0.631,,
2023-06-07,dividend,0.509,,
2023-09-26,dividend,0.829,,
2023-12-20,dividend,0.734,,
