ts,type,value,numerator,denominator
2016-03-18,dividend,0.318,,
2016-06-17,dividend,0.287,,
2016-09-16,dividend,0.294,,
2016-12-16,dividend,0.355,,
2017-03-17,dividend,0.274,,
2017-06-16,dividend,0.378,,
2017-09-18,dividend,0.319,,
2017-12-18,dividend,0.329,,
2018-03-19,dividend,0.277,,
2018-06-18,dividend,0.378,,
2018-09-24,dividend,0.33,,
2018-12-24,dividend,0.421,,
2019-03-18,dividend,0.324,,
2019-06-24,dividend,0.416,,
2019-09-23,dividend,0.384,,
2019-12-23,dividend,0.458,,
2020-03-23,dividend,0.363,,
2020-06-22,dividend,0.424,,
2020-12-21,dividend,0.561,,
2021-03-22,dividend,0.395,,
2021-06-21,dividend,0.397,,
2021-09-20,dividend,0.414,,
2021-12-20,dividend,0.491,,
2022-03-21,dividend,0.434,,
2022-06-21,dividend,0.527,,
2022-09-19,dividend,0.519,,
2022-12-19,dividend,0.655,,
2023-03-20,dividend,0.472,,
2023-06-20,dividend,0.504,,
2023-09-18,dividend,0.536,,
2023-12-18,dividend,0.808,,
2023-12-27,dividend,0.216,,
