ts,type,value,numerator,denominator
2016-03-18,dividend,1.05,,
2016-06-17,dividend,1.078,,
2016-09-16,dividend,1.082,,
2016-12-16,dividend,1.329,,
2017-03-17,dividend,1.033,,
2017-06-16,dividend,1.183,,
2017-09-15,dividend,1.235,,
2017-12-15,dividend,1.351,,
2018-03-16,dividend,1.097,,
2018-06-15,dividend,1.246,,
2018-09-21,dividend,1.323,,
2018-12-21,dividend,1.435,,
2019-03-15,dividend,1.233,,
2019-06-21,dividend,1.432,,
2019-09-20,dividend,1.384,,
2019-12-20,dividend,1.57,,
2020-03-20,dividend,1.406,,
2020-06-19,dividend,1.366,,
2020-09-18,dividend,1.339,,
2020-12-18,dividend,1.58,,
2021-03-19,dividend,1.278,,
2021-06-18,dividend,1.376,,
2021-09-17,dividend,1.428,,
2021-12-17,dividend,1.633,,
2022-03-18,dividend,1.366,,
2022-06-17,dividend,1.577,,
2022-09-16,dividend,1.596,,
2022-12-16,dividend,1.781,,
2023-03-17,dividend,1.506,,
2023-06-16,dividend,1.638,,
2023-09-15,dividend,1.583,,
2023-12-15,dividend,1.906,,
