ts,type,value,numerator,denominator
2016-02-01,dividend,0.241,,
2016-03-01,dividend,0.248,,
2016-04-01,dividend,0.27,,
2016-05-02,dividend,0.26,,
2016-06-01,dividend,0.267,,
2016-07-01,dividend,0.255,,
2016-08-01,dividend,0.258,,
2016-09-01,dividend,0.254,,
2016-10-03,dividend,0.247,,
2016-11-01,dividend,0.25,,
2016-12-01,dividend,0.243,,
2016-12-22,dividend,0.309,,
2017-02-01,dividend,0.259,,
2017-03-01,dividend,0.234,,
2017-04-03,dividend,0.255,,
2017-05-01,dividend,0.255,,
2017-06-01,dividend,0.263,,
2017-07-03,dividend,0.258,,
2017-08-01,dividend,0.269,,
2017-09-01,dividend,0.263,,
2017-10-02,dividend,0.252,,
2017-11-01,dividend,0.263,,
2017-12-01,dividend,0.255,,
2017-12-21,dividend,0.262,,
2018-02-01,dividend,0.255,,
2018-03-01,dividend,0.239,,
2018-04-02,dividend,0.26,,
2018-05-01,dividend,0.262,,
2018-06-01,dividend,0.281,,
2018-07-02,dividend,0.275,,
2018-08-01,dividend,0.267,,
2018-09-04,dividend,0.272,,
2018-10-01,dividend,0.261,,
2018-11-01,dividend,0.275,,
2018-12-03,dividend,0.267,,
2018-12-18,dividend,0.282,,
2019-02-01,dividend,0.275,,
2019-03-01,dividend,0.253,,
2019-04-01,dividend,0.278,,
2019-05-01,dividend,0.259,,
2019-06-03,dividend,0.27,,
2019-07-01,dividend,0.26,,
2019-08-01,dividend,0.264,,
2019-09-03,dividend,0.26,,
2019-10-01,dividend,0.25,,
2019-11-01,dividend,0.246,,
2019-12-02,dividend,0.241,,
2019-12-19,dividend,0.218,,
2020-02-03,dividend,0.242,,
2020-03-02,dividend,0.229,,
2020-04-01,dividend,0.238,,
2020-05-01,dividend,0.216,,
2020-06-01,dividend,0.21,,
2020-07-01,dividend,0.192,,
2020-08-03,dividend,0.19,,
2020-09-01,dividend,0.183,,
2020-10-01,dividend,0.169,,
2020-11-02,dividend,0.169,,
2020-12-01,dividend,0.163,,
2020-12-17,dividend,0.164,,
2021-02-01,dividend,0.176,,
2021-03-01,dividend,0.172,,
2021-04-01,dividend,0.185,,
2021-05-03,dividend,0.203,,
2021-06-01,dividend,0.199,,
2021-07-01,dividend,0.188,,
2021-08-02,dividend,0.182,,
2021-09-01,dividend,0.189,,
2021-10-01,dividend,0.183,,
2021-11-01,dividend,0.188,,
2021-12-01,dividend,0.184,,
2021-12-16,dividend,0.168,,
2022-02-01,dividend,0.198,,
2022-03-01,dividend,0.185,,
2022-04-01,dividend,0.202,,
2022-05-02,dividend,0.203,,
2022-06-01,dividend,0.207,,
2022-07-01,dividend,0.227,,
2022-08-01,dividend,0.213,,
2022-09-01,dividend,0.236,,
2022-10-03,dividend,0.244,,
2022-11-01,dividend,0.236,,
2022-12-01,dividend,0.244,,
2022-12-15,dividend,0.261,,
2023-02-01,dividend,0.275,,
2023-03-01,dividend,0.25,,
2023-04-03,dividend,0.269,,
2023-05-01,dividend,0.268,,
2023-06-01,dividend,0.273,,
2023-07-03,dividend,0.278,,
2023-08-01,dividend,0.275,,
2023-09-01,dividend,0.289,,
2023-10-02,dividend,0.28,,
2023-11-01,dividend,0.286,,
2023-12-01,dividend,0.289,,
2023-12-14,dividend,0.311,,
