ts,type,value,numerator,denominator
2016-03-18,dividend,0.081235,,
2016-06-17,dividend,0.098294,,
2016-09-16,dividend,0.092608,,
2016-09-19,split,1231:1000,1231.0,1000.0
2016-12-16,dividend,0.107,,
2017-03-17,dividend,0.088,,
2017-06-16,dividend,0.093,,
2017-09-15,dividend,0.103,,
2017-12-15,dividend,0.128,,
2018-03-16,dividend,0.105,,
2018-06-15,dividend,0.119,,
2018-09-21,dividend,0.128,,
2018-12-21,dividend,0.145,,
2019-03-15,dividend,0.135,,
2019-06-21,dividend,0.139,,
2019-09-20,dividend,0.144,,
2019-12-20,dividend,0.156,,
2020-03-23,dividend,0.159,,
2020-06-22,dividend,0.152,,
2020-09-21,dividend,0.135,,
2020-12-21,dividend,0.152,,
2021-03-22,dividend,0.151,,
2021-06-21,dividend,0.139,,
2021-09-20,dividend,0.162,,
2021-12-20,dividend,0.184,,
2022-03-21,dividend,0.152,,
2022-06-21,dividend,0.164,,
2022-09-19,dividend,0.173,,
2022-12-19,dividend,0.21,,
2023-03-20,dividend,0.153,,
2023-06-20,dividend,0.15,,
2023-09-18,dividend,0.155,,
2023-12-18,dividend,0.184,,
