ts,type,value,numerator,denominator
2016-03-18,dividend,0.11,,
2016-06-17,dividend,0.1055,,
2016-09-16,dividend,0.098,,
2016-12-16,dividend,0.108,,
2017-03-17,dividend,0.1025,,
2017-06-16,dividend,0.1115,,
2017-09-15,dividend,0.1045,,
2017-12-15,dividend,0.119,,
2018-03-16,dividend,0.109,,
2018-06-15,dividend,0.1275,,
2018-09-21,dividend,0.127,,
2018-12-21,dividend,0.1325,,
2019-03-15,dividend,0.1165,,
2019-06-21,dividend,0.139,,
2019-09-20,dividend,0.1265,,
2019-12-20,dividend,0.1475,,
2020-03-23,dividend,0.1855,,
2020-06-22,dividend,0.1405,,
2020-09-21,dividend,0.1235,,
2020-12-21,dividend,0.149,,
2021-03-22,dividend,0.1365,,
2021-06-21,dividend,0.13,,
2021-09-20,dividend,0.1365,,
2021-12-20,dividend,0.1585,,
2022-03-21,dividend,0.143,,
2022-06-21,dividend,0.1615,,
2022-09-19,dividend,0.1585,,
2022-12-19,dividend,0.1825,,
2023-03-20,dividend,0.158,,
2023-06-20,dividend,0.181,,
2023-09-18,dividend,0.18,,
2023-12-18,dividend,0.211,,
